panel,label,family,q,w,depth,cadence,gross,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,path4a,path4b
U56,PICK(IS-Sharpe),BREADTH-HI,0.12,2016,1.0,W,1.0,0.14184283062298997,1.1231665826086354,-0.19907252385067487,1.144257675360333,1.1067502854797597,0.14810094200965418,1.150338660707318,-0.19907252385067353,False,True
B136,PICK(IS-Sharpe),BREADTH-HI,0.12,2016,1.0,D,1.0,0.1262667739750385,0.9488506393087497,-0.21575128247013065,1.2569586403984927,0.6601984215892683,0.09486645899764556,0.7431059350595447,-0.2157512824701291,False,False
SMALL,PICK(IS-Sharpe),CORR-LO,0.17,504,1.0,D,1.0,0.08061368255200718,0.5851482131519034,-0.4558817605123716,0.8048356159895284,0.4602823921930131,0.06330519535943724,0.4513372875360232,-0.45588176051237206,False,False
