sel,panel,book,cost,pick,n_admitted,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,beat_ctl,beat_spy,beat_v1,oos_best,oos_rank,ctl_OOS_Sharpe,spy_OOS_Sharpe,v1_OOS_Sharpe,ctl_OOS_MaxDD,spy_OOS_MaxDD
S0,u56,V1u,10.0,control,17,0.07167644913632909,0.7135835570891119,-0.15672092223908363,False,False,False,False,8.5,0.7135835570891119,0.8820107671822842,0.747063834691694,-0.15672092223908363,-0.33717235283398284
S1,u56,V1u,10.0,(none),0,,,,,,,,,0.7135835570891119,0.8820107671822842,0.747063834691694,-0.15672092223908363,-0.33717235283398284
S2,u56,V1u,10.0,(none),0,,,,,,,,,0.7135835570891119,0.8820107671822842,0.747063834691694,-0.15672092223908363,-0.33717235283398284
S0,u56,V1u,25.0,ebud-0.10,17,0.009515797736436848,0.21069454724710715,-0.11081637294244429,False,False,False,False,17.0,0.3592038657013107,0.8820107671822842,0.39920030769495,-0.19948029385500987,-0.33717235283398284
S1,u56,V1u,25.0,(none),0,,,,,,,,,0.3592038657013107,0.8820107671822842,0.39920030769495,-0.19948029385500987,-0.33717235283398284
S2,u56,V1u,25.0,(none),0,,,,,,,,,0.3592038657013107,0.8820107671822842,0.39920030769495,-0.19948029385500987,-0.33717235283398284
S0,u56,TOP20,10.0,control,17,0.16638958865609776,1.1676752607259366,-0.22210408719864583,False,True,True,False,7.0,1.1676752607259366,0.8820107671822842,0.747063834691694,-0.22210408719864583,-0.33717235283398284
S1,u56,TOP20,10.0,control,8,0.16638958865609776,1.1676752607259366,-0.22210408719864583,False,True,True,False,7.0,1.1676752607259366,0.8820107671822842,0.747063834691694,-0.22210408719864583,-0.33717235283398284
S2,u56,TOP20,10.0,control,8,0.16638958865609776,1.1676752607259366,-0.22210408719864583,False,True,True,False,7.0,1.1676752607259366,0.8820107671822842,0.747063834691694,-0.22210408719864583,-0.33717235283398284
S0,u56,TOP20,25.0,control,17,0.15087237124064035,1.0721876011978528,-0.22340270136729112,False,True,True,False,4.0,1.0721876011978528,0.8820107671822842,0.39920030769495,-0.22340270136729112,-0.33717235283398284
S1,u56,TOP20,25.0,(none),0,,,,,,,,,1.0721876011978528,0.8820107671822842,0.39920030769495,-0.22340270136729112,-0.33717235283398284
