panel,rule,mine,committed_1206,dev
U56,M_NONE,1.1822725837560801,1.1823,2.7416243919775596e-05
U56,M_SUBSAMPLE,1.1688715062477602,1.1689,2.8493752239899806e-05
U56,M_PAIRWISE,1.1688715062477602,1.1689,2.8493752239899806e-05
U56,M_D2,1.1766584103240167,1.1767,4.158967598333341e-05
U56,C_ANCHOR,1.2165204432931187,1.2165,2.044329311878812e-05
U56,C_RANDOM,1.2109858828436546,1.211,1.4117156345472281e-05
U56,C_BEST_IS,1.1353946941963384,1.1354,5.305803661537212e-06
B136,M_NONE,1.1474639244604805,1.1475,3.6075539519453415e-05
B136,M_SUBSAMPLE,1.1269691811402502,1.127,3.08188597497594e-05
B136,M_PAIRWISE,1.1269691811402502,1.127,3.08188597497594e-05
B136,M_D2,1.127075912622617,1.1271,2.408737738290867e-05
B136,C_ANCHOR,1.1707712101260472,1.1708,2.878987395282806e-05
B136,C_RANDOM,1.1447468935955496,1.1447,4.689359554954642e-05
B136,C_BEST_IS,1.1459907357943266,1.146,9.264205673265025e-06
SMALL,M_NONE,0.5899453416488434,0.5899,4.534164884339997e-05
SMALL,M_SUBSAMPLE,0.6782580377219803,0.6783,4.196227801966934e-05
SMALL,M_PAIRWISE,0.6782580377219803,0.6783,4.196227801966934e-05
SMALL,M_D2,0.6717555759882529,0.6718,4.442401174709065e-05
SMALL,C_ANCHOR,0.5298257689344923,0.5298,2.5768934492242934e-05
SMALL,C_RANDOM,0.5024684620038286,0.5025,3.153799617139352e-05
SMALL,C_BEST_IS,0.6148375177387924,0.6148,3.7517738792347544e-05
