gate,what,value,pass_
G1,fast runner == engine.backtest (U56 W/H126/N20),1.3877787807814457e-17,True
G1s,fast runner == engine.backtest (SMALL663 W/H126/N20),2.0816681711721685e-17,True
G2,CROSS-RUN 936/1071/1082/1094/1102/1108/1110/1116 U56 triple,3.1831294189377246e-07,True
G3,SPY OOS triple (U56),0.00017024209187355144,True
G4,CROSS-RUN 1098/1102/1116 committed U56 n=12 triple,4.9747072470490705e-05,True
G4b,CROSS-RUN 1098/1102/1116 committed B136 n=15 triple,2.131920825099165e-05,True
G5,live RULES v2 MaxDD == committed -12.05%,4.949323437114517e-05,True
G6,determinism of the cell pipeline,0.0,True
G10,SMALL663 composition: 663 tradable + SPY held at weight 0 everywhere,0.0,True
G7,"the ladders are live (Sharpe spread, all cells / SMALL663)",0.5111496213370867,True
G8,BIT-EXACT reproduction of 1116's U56/B136 cells.csv,0.0,True
G9,CROSS-RUN 1116's committed ETA2_LAD/ETA2_STAT,1.0,True
