unit,arm,panel,is_flip,oos_flip,oos_book_CAGR,oos_book_Sharpe,oos_book_MaxDD,oos_live_CAGR,oos_live_Sharpe,oos_live_MaxDD,oos_spy_CAGR,oos_spy_Sharpe,oos_spy_MaxDD,d_vs_live,d_vs_spy
YEAR,IS-CHOSEN,U56,0.0,1.0,0.17323365236641486,1.185677704201696,-0.19127562163086176,0.09455179369762767,1.2768823974588255,-0.12054956914840886,0.1525745335844091,0.8738401470547136,-0.33717289200673783,-0.09120469325712954,0.31183755714698236
YEAR,ANCHOR (do nothing),U56,0.0,1.0,0.17323365236641486,1.185677704201696,-0.19127562163086176,0.09455179369762767,1.2768823974588255,-0.12054956914840886,0.1525745335844091,0.8738401470547136,-0.33717289200673783,-0.09120469325712954,0.31183755714698236
YEAR,MEAN over panels,-,0.0,0.3333333333333333,,,,,,,,,,,
YEAR,WORST panel,B136,0.0,0.0,,,,,,,,,,,
DAY_BOOK,IS-CHOSEN,U56,0.0,6.0,0.17323365236641486,1.185677704201696,-0.19127562163086176,0.09455179369762767,1.2768823974588255,-0.12054956914840886,0.1525745335844091,0.8738401470547136,-0.33717289200673783,-0.09120469325712954,0.31183755714698236
DAY_BOOK,ANCHOR (do nothing),U56,0.0,6.0,0.17323365236641486,1.185677704201696,-0.19127562163086176,0.09455179369762767,1.2768823974588255,-0.12054956914840886,0.1525745335844091,0.8738401470547136,-0.33717289200673783,-0.09120469325712954,0.31183755714698236
DAY_BOOK,MEAN over panels,-,0.0,2.0,,,,,,,,,,,
DAY_BOOK,WORST panel,B136,0.0,0.0,,,,,,,,,,,
DAY_SPY,IS-CHOSEN,U56,0.0,5.0,0.17323365236641486,1.185677704201696,-0.19127562163086176,0.09455179369762767,1.2768823974588255,-0.12054956914840886,0.1525745335844091,0.8738401470547136,-0.33717289200673783,-0.09120469325712954,0.31183755714698236
DAY_SPY,ANCHOR (do nothing),U56,0.0,5.0,0.17323365236641486,1.185677704201696,-0.19127562163086176,0.09455179369762767,1.2768823974588255,-0.12054956914840886,0.1525745335844091,0.8738401470547136,-0.33717289200673783,-0.09120469325712954,0.31183755714698236
DAY_SPY,MEAN over panels,-,0.0,1.6666666666666667,,,,,,,,,,,
DAY_SPY,WORST panel,B136,0.0,0.0,,,,,,,,,,,
DAY_ADV,IS-CHOSEN,U56,0.0,1.0,0.17323365236641486,1.185677704201696,-0.19127562163086176,0.09455179369762767,1.2768823974588255,-0.12054956914840886,0.1525745335844091,0.8738401470547136,-0.33717289200673783,-0.09120469325712954,0.31183755714698236
DAY_ADV,ANCHOR (do nothing),U56,0.0,1.0,0.17323365236641486,1.185677704201696,-0.19127562163086176,0.09455179369762767,1.2768823974588255,-0.12054956914840886,0.1525745335844091,0.8738401470547136,-0.33717289200673783,-0.09120469325712954,0.31183755714698236
DAY_ADV,MEAN over panels,-,0.0,0.3333333333333333,,,,,,,,,,,
DAY_ADV,WORST panel,B136,0.0,0.0,,,,,,,,,,,
