panel,cost,pool,N,grid,K,chooser,chooser_score,rand_mean,rand_median,rand_sd,percentile,p_one_sided,clears_50th,sep_at_5pct,min_attainable_p,resolution_permits_5pct
U56,0.0,GRID18,18,REC1,1,IS_SHARPE,1.176821069551332,1.33694455997048,1.3007859478672301,0.11381269102061235,0.02975,0.9702500000000001,False,False,0.027777777777777776,True
U56,0.0,GRID18,18,REC1,1,IS_LEGS,1.176821069551332,1.33694455997048,1.3007859478672301,0.11381269102061235,0.02975,0.9702500000000001,False,False,0.027777777777777776,True
U56,0.0,GRID18,18,REC1,1,IS_CAGR,1.37246057737741,1.33694455997048,1.3007859478672301,0.11381269102061235,0.594,0.406,True,False,0.027777777777777776,True
U56,0.0,GRID18,18,Q8,8,IS_SHARPE,1.168064103319602,1.2905109692793582,1.29101630381207,0.039726914061216125,0.0005,0.9995,False,False,0.027777777777777776,True
U56,0.0,GRID18,18,Q8,8,IS_LEGS,1.1490937104116647,1.2905109692793582,1.29101630381207,0.039726914061216125,0.0,1.0,False,False,0.027777777777777776,True
U56,0.0,GRID18,18,Q8,8,IS_CAGR,1.342096045314019,1.2905109692793582,1.29101630381207,0.039726914061216125,0.901,0.09899999999999998,True,False,0.027777777777777776,True
U56,0.0,GRID18,18,Q16,16,IS_SHARPE,1.2115244194360681,1.3060001189621315,1.3057929260206613,0.027153744183192045,0.0005,0.9995,False,False,0.027777777777777776,True
U56,0.0,GRID18,18,Q16,16,IS_LEGS,1.1953623901641497,1.3060001189621315,1.3057929260206613,0.027153744183192045,0.0005,0.9995,False,False,0.027777777777777776,True
U56,0.0,GRID18,18,Q16,16,IS_CAGR,1.3494331509319404,1.3060001189621315,1.3057929260206613,0.027153744183192045,0.941,0.05900000000000005,True,False,0.027777777777777776,True
U56,0.0,GRID18,18,Q32,32,IS_SHARPE,1.2350721867064742,1.2913937307753334,1.2912948251947884,0.014924798625190321,0.0,1.0,False,False,0.027777777777777776,True
U56,0.0,GRID18,18,Q32,32,IS_LEGS,1.2269458995424314,1.2913937307753334,1.2912948251947884,0.014924798625190321,0.0,1.0,False,False,0.027777777777777776,True
U56,0.0,GRID18,18,Q32,32,IS_CAGR,1.3262834666553758,1.2913937307753334,1.2912948251947884,0.014924798625190321,0.9905,0.009499999999999953,True,True,0.027777777777777776,True
U56,0.0,GRIDSHELF,24,REC1,1,IS_SHARPE,1.2431420112119453,1.3192971032429932,1.2999518507857042,0.11221842068474629,0.272,0.728,False,False,0.020833333333333332,True
U56,0.0,GRIDSHELF,24,REC1,1,IS_LEGS,1.2431420112119453,1.3192971032429932,1.2999518507857042,0.11221842068474629,0.272,0.728,False,False,0.020833333333333332,True
U56,0.0,GRIDSHELF,24,REC1,1,IS_CAGR,1.2431420112119453,1.3192971032429932,1.2999518507857042,0.11221842068474629,0.272,0.728,False,False,0.020833333333333332,True
U56,0.0,GRIDSHELF,24,Q8,8,IS_SHARPE,1.1974815048193679,1.273699626593535,1.2721144411747543,0.03992448959358475,0.025,0.975,False,False,0.020833333333333332,True
U56,0.0,GRIDSHELF,24,Q8,8,IS_LEGS,1.204729468101631,1.273699626593535,1.2721144411747543,0.03992448959358475,0.04,0.96,False,False,0.020833333333333332,True
U56,0.0,GRIDSHELF,24,Q8,8,IS_CAGR,1.1974815048193679,1.273699626593535,1.2721144411747543,0.03992448959358475,0.025,0.975,False,False,0.020833333333333332,True
U56,0.0,GRIDSHELF,24,Q16,16,IS_SHARPE,1.2249496156718775,1.289765598892007,1.2894746978278304,0.026920971140132637,0.006,0.994,False,False,0.020833333333333332,True
U56,0.0,GRIDSHELF,24,Q16,16,IS_LEGS,1.2285735973130092,1.289765598892007,1.2894746978278304,0.026920971140132637,0.0095,0.9905,False,False,0.020833333333333332,True
U56,0.0,GRIDSHELF,24,Q16,16,IS_CAGR,1.2249496156718775,1.289765598892007,1.2894746978278304,0.026920971140132637,0.006,0.994,False,False,0.020833333333333332,True
U56,0.0,GRIDSHELF,24,Q32,32,IS_SHARPE,1.2338818127310345,1.2793268451273097,1.2790473349737608,0.01606751829051206,0.001,0.999,False,False,0.020833333333333332,True
U56,0.0,GRIDSHELF,24,Q32,32,IS_LEGS,1.2356938035516003,1.2793268451273097,1.2790473349737608,0.01606751829051206,0.0025,0.9975,False,False,0.020833333333333332,True
U56,0.0,GRIDSHELF,24,Q32,32,IS_CAGR,1.2338818127310345,1.2793268451273097,1.2790473349737608,0.01606751829051206,0.001,0.999,False,False,0.020833333333333332,True
U56,0.0,WIDE10,10,REC1,1,IS_SHARPE,1.176821069551332,1.3143783242091323,1.3004473806456884,0.10059160394104351,0.05125,0.94875,False,False,0.05,True
