panel,rung,gross,family,state,side,prior,level,w,depth,cadence,on_share,gap,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,p4a,p4b,p4a_oos,p4b_oos,fail4b
U56,0,0.75,BREADTH-LO,BREADTH,LO,True,0.07,252,0.25,D,0.11093609360936094,0.027734023402340213,0.11439451196342487,1.210725583155854,-0.14209880577471978,1.191536993177479,1.2297040818021219,1.086347967631393,0.12525229254868075,1.3125380214490483,-0.14209880577472,False,True,False,True,-
U56,0,0.75,BREADTH-LO,BREADTH,LO,True,0.07,252,0.25,W,0.11566156615661566,0.0289153915391539,0.11203541361025438,1.1861008124743535,-0.13790843263355046,1.1507062714683722,1.220280092381176,1.0423605748695788,0.12479821849460371,1.3031926952892832,-0.13790843263355046,False,True,False,True,-
U56,0,0.75,BREADTH-LO,BREADTH,LO,True,0.07,252,0.5,D,0.11093609360936094,0.055468046804680426,0.11595432928554184,1.2832313545218352,-0.12658757907999407,1.2180165185507426,1.346814424464501,1.1105878516937022,0.12855478835545342,1.430380656214631,-0.12658757907999474,False,True,False,True,-
U56,0,0.75,BREADTH-LO,BREADTH,LO,True,0.07,252,0.5,W,0.11566156615661566,0.0578307830783078,0.11123906899731084,1.2317215012694787,-0.11804955301686904,1.1335849157476936,1.3266489453649626,1.0195732582334882,0.1276559509742914,1.4105096833951087,-0.11804955301686881,False,True,True,True,-
U56,0,0.75,BREADTH-LO,BREADTH,LO,True,0.07,252,1.0,D,0.11093609360936094,0.11093609360936096,0.11853135825802208,1.363571640207226,-0.10465124814721227,1.2320580162940495,1.4969914592609346,1.1221139034779637,0.13444680310650314,1.5781861084738018,-0.1015543780263034,False,True,True,True,-
U56,0,0.75,BREADTH-LO,BREADTH,LO,True,0.07,252,1.0,W,0.11566156615661566,0.11566156615661571,0.1091169009696169,1.258164275958529,-0.1108584245646248,1.056995612921649,1.459219395991172,0.9334681703744379,0.13268755729581883,1.5414256660889598,-0.08623219166528107,False,True,True,True,-
U56,0,0.75,BREADTH-LO,BREADTH,LO,True,0.07,504,0.25,D,0.10621062106210621,0.026552655265526526,0.11287405010951024,1.1890554769673012,-0.14973804345523134,1.2017699476212769,1.1791101707882843,1.0968080383881704,0.12186734844353175,1.2632842021935773,-0.14973804345523156,False,True,False,True,-
U56,0,0.75,BREADTH-LO,BREADTH,LO,True,0.07,504,0.25,W,0.10553555355535553,0.026383888388838872,0.11064514180309337,1.1565221629308882,-0.15769534506473393,1.1515609279258967,1.1632376012624233,1.0436813075699598,0.121893925776549,1.2466298831267455,-0.1576953450647336,False,True,False,True,-
U56,0,0.75,BREADTH-LO,BREADTH,LO,True,0.07,504,0.5,D,0.10621062106210621,0.05310531053105305,0.11292914957035594,1.23869891966624,-0.1418963126405366,1.2382966184427804,1.2398783293736098,1.1314149844165844,0.12181646247751288,1.3267432001214972,-0.14189631264053615,False,True,False,True,-
U56,0,0.75,BREADTH-LO,BREADTH,LO,True,0.07,504,0.5,W,0.10553555355535553,0.052767776777677744,0.10850546371522318,1.1731138124912728,-0.1576953450647336,1.1361818854504315,1.2087755146435453,1.023113242792001,0.12191341520179533,1.294231559848758,-0.15769534506473382,False,True,False,True,-
