panel,dial,label,turn_A,turn_B,ratio,cuts
U56,D1_CADENCE,freq W->M,10.457816079665402,4.584882227710394,2.280934506116604,True
U56,D2_GROSS,gross 1.00->0.50,13.92365652263099,6.998969590335774,1.9893866294056874,True
U56,D3_WIDTH,n 5->20,17.602725455689363,10.457816079665402,1.68321237642693,True
U56,D4_ELIG,max_vol 0.60->0.35,10.457816079665402,11.968015572136618,0.8738137092679598,False
U56,D5_BAND,band 0.00->0.06,2.974068312583892,1.2293119913390196,2.4192949662391308,True
B136,D1_CADENCE,freq W->M,13.586159800432252,6.204255547899827,2.189813055819604,True
B136,D2_GROSS,gross 1.00->0.50,18.095668765978647,9.086426017266453,1.9915056515721814,True
B136,D3_WIDTH,n 5->20,20.697300800153336,13.586159800432252,1.5234106696945253,True
B136,D4_ELIG,max_vol 0.60->0.35,13.586159800432252,15.785316437133835,0.8606833986851082,False
B136,D5_BAND,band 0.00->0.06,3.160512610948057,1.369172005063038,2.308338615791771,True
SMALL,D1_CADENCE,freq W->M,20.20035025648692,9.592633563248027,2.1058190249109403,True
SMALL,D2_GROSS,gross 1.00->0.50,26.934615263675095,13.484056408232616,1.9975157658959595,True
SMALL,D3_WIDTH,n 5->20,29.53218329374217,20.20035025648692,1.4619639223462735,True
SMALL,D4_ELIG,max_vol 0.60->0.35,20.20035025648692,25.370639442855136,0.79620974086941,False
SMALL,D5_BAND,band 0.00->0.06,3.515865040969526,1.8916500184378173,1.858623427537106,True
