dp,of,unique,ambig,miss,kept
dp6,198267,198018,249,0,0.9987441177805686
dp8,198267,198245,22,0,0.9998890385187651
dp10,198267,198267,0,0,1.0
dp12,198267,198157,0,110,0.9994451925938255
FULL,198267,33830,0,164437,0.17062849591712187
