panel,n,max_vol,cost,spread,lo,hi,oos_spread,dd_spread
B136,10,0.6,0.0,0.08565909383135684,0.8843590843735496,0.9700181782049064,0.09632028498960221,0.11705469262252732
B136,10,0.6,10.0,0.207797052243487,0.6564017752558639,0.8641988274993508,0.22423618070524365,0.11164620182972929
B136,10,0.6,25.0,0.39324479671900536,0.3138401793201391,0.7070849760391444,0.4162888264166147,0.07024250720713343
B136,10,off,0.0,0.1049301022092558,0.920167776558685,1.0250978787679408,0.06878749501166226,0.1638964013727119
B136,10,off,10.0,0.24528997577973843,0.6948643471892781,0.9401543229690166,0.21551263601018655,0.16232337977528521
B136,10,off,25.0,0.45621562197616716,0.3562191254297138,0.812434747405881,0.43587375087498054,0.13225868629492243
B136,20,0.6,0.0,0.04987123578141284,0.967496134711604,1.0173673704930168,0.08767801899489036,0.08816792465324796
B136,20,0.6,10.0,0.12181870039762499,0.7988396677275945,0.9206583681252195,0.16007349029328133,0.08795843392184233
B136,20,0.6,25.0,0.22996294613095603,0.545356338784486,0.775319284915442,0.26988485007300483,0.08762314198529886
B136,20,off,0.0,0.07706621744092512,0.9771261030165843,1.0541923204575094,0.09633765475806533,0.11146170950482959
B136,20,off,10.0,0.1538513767714519,0.8138433688847201,0.967694745656172,0.1730742680209476,0.11115552823547992
B136,20,off,25.0,0.2694630964928967,0.5682719711573644,0.8377350676502611,0.2893511802239145,0.11067663021396867
SMALL,10,0.6,0.0,0.03961355501979236,0.6163043761296845,0.6559179311494768,0.03624490588367335,0.12011461979687821
SMALL,10,0.6,10.0,0.058094471191783736,0.4745528907279732,0.5326473619197569,0.03744207738276961,0.15258084509733805
SMALL,10,0.6,25.0,0.08691133131883788,0.26067677167628434,0.3475881029951222,0.03919413485353773,0.14039029438002493
SMALL,10,off,0.0,0.13873758895178223,0.6381018677729487,0.776839456724731,0.12274083486523624,0.27335467048811424
SMALL,10,off,10.0,0.21003927589231353,0.4970586972517017,0.7070979731440152,0.18272401839999686,0.29463011093231384
SMALL,10,off,25.0,0.31869179002513703,0.28369306278969786,0.6023848528148349,0.2726417691710465,0.2637245105020447
SMALL,20,0.6,0.0,0.06978037197784892,0.6572698660885251,0.727050238066374,0.05294123236242909,0.15486505825628671
SMALL,20,0.6,10.0,0.04609362140524864,0.5166612633544709,0.5627548847597196,0.08115676598695859,0.18413087725846233
SMALL,20,0.6,25.0,0.10048843675265134,0.27082388686493675,0.3713123236175881,0.12538923844940164,0.1911738296431672
SMALL,20,off,0.0,0.1451867358478962,0.6984321310119692,0.8436188668598654,0.2009079673719949,0.11771463787494052
SMALL,20,off,10.0,0.2334492115802893,0.5350129839652442,0.7684621955455335,0.2842938373685515,0.12345440159124377
SMALL,20,off,25.0,0.3656167728472959,0.2899468962871967,0.6555636691344926,0.4089896771188346,0.1448867077797923
U56,10,0.6,0.0,0.025337643897432427,1.0235960106636104,1.0489336545610428,0.05753084270575837,0.10150614524783863
U56,10,0.6,10.0,0.059288395437767316,0.8799116271905663,0.9392000226283336,0.11555541993783602,0.10060446211505947
U56,10,0.6,25.0,0.15155269037843622,0.6393928554904946,0.7909455458689308,0.20281364193972706,0.09043651486617565
U56,10,off,0.0,0.09725892009341353,1.0340792223529915,1.131338142446405,0.08995151639785637,0.15957254512879937
U56,10,off,10.0,0.1700205098130304,0.8776851459589449,1.0477056557719753,0.16212269345146768,0.15832475529176337
U56,10,off,25.0,0.28110849375681635,0.6407847697739144,0.9218932635307308,0.2706530864894938,0.14752514040558906
U56,20,0.6,0.0,0.10869326976155436,1.042197458790784,1.1508907285523384,0.15441674680170148,0.06693959267717331
U56,20,0.6,10.0,0.13809875972715624,0.9321659675340926,1.0702647272612489,0.18709062586190706,0.06715268929002638
U56,20,0.6,25.0,0.1824858272445783,0.7665436023568882,0.9490294296014665,0.23626528365082644,0.06747154212403694
U56,20,off,0.0,0.13470689109120149,1.0594184956259436,1.194125386717145,0.12467156548095981,0.09952822878166756
U56,20,off,10.0,0.16702889221589745,0.9554676983131564,1.1224965905290538,0.1596199099957607,0.09979044081636324
U56,20,off,25.0,0.2156306199021869,0.7991947319511261,1.014825351853313,0.21217442774773565,0.10018197086914915
