corpus,panel,cost,selector,pick,n,share,fired,pool,changed,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS4b_clears,OOS4b_fail,pass4a,pass4b,dOOS,dMaxDD,v1_OOS_Sharpe,spy_OOS_Sharpe,v1_OOS_CAGR,spy_OOS_CAGR,v1_OOS_MaxDD,spy_OOS_MaxDD
C168,broad,10.0,SIZE n>=15,0.75@0.2,18,0.2,True,55,True,0.16614407709032286,1.0172404065796175,-0.21478051027695644,False,DD,False,False,0.15743980554925507,-0.016722116441355572,0.5762505378038233,0.8820239235972316,0.05941502665859644,0.1545044425578177,-0.2119126361153264,-0.3371595330739301
C168,broad,10.0,SIZE n>=20,0.75@0.27,25,0.27,True,44,True,0.1448970278866164,0.9752204871184598,-0.21258023418827054,False,DD,False,False,0.11541988608809739,-0.018922392530041465,0.5762505378038233,0.8820239235972316,0.05941502665859644,0.1545044425578177,-0.2119126361153264,-0.3371595330739301
C168,broad,10.0,SIZE n>=25,0.75@0.27,25,0.27,True,44,True,0.1448970278866164,0.9752204871184598,-0.21258023418827054,False,DD,False,False,0.11541988608809739,-0.018922392530041465,0.5762505378038233,0.8820239235972316,0.05941502665859644,0.1545044425578177,-0.2119126361153264,-0.3371595330739301
C168,broad,10.0,ORACLE-OOS (ceiling),1.0@0.05,5,0.05,False,88,True,0.25231459676944046,1.1019605430621287,-0.24194827541102826,False,DD,False,False,0.24215994203176627,0.010445648692716247,0.5762505378038233,0.8820239235972316,0.05941502665859644,0.1545044425578177,-0.2119126361153264,-0.3371595330739301
C168,broad,10.0,BIGGEST BOOK (no fitting),-1.0@0.75,69,0.75,False,88,True,0.09535390862800219,0.9432223801616905,-0.17988820531165695,False,CAGR,True,False,0.08342177913132809,-0.051614421406655064,0.5762505378038233,0.8820239235972316,0.05941502665859644,0.1545044425578177,-0.2119126361153264,-0.3371595330739301
C168,broad,25.0,S0 do-nothing (IS-Sharpe argmax),0.25@0.1,9,0.1,False,88,False,0.1230347117380548,0.7050046085238197,-0.23212232527070165,False,H1|H2|OOS|DD,True,False,0.0,0.0,0.15539928865606328,0.8820239235972316,0.011143568780353386,0.1545044425578177,-0.26721084947028584,-0.3371595330739301
C168,broad,25.0,SCREEN 4bIS [AS165],0.25@0.1,9,0.1,False,0,False,0.1230347117380548,0.7050046085238197,-0.23212232527070165,False,H1|H2|OOS|DD,True,False,0.0,0.0,0.15539928865606328,0.8820239235972316,0.011143568780353386,0.1545044425578177,-0.26721084947028584,-0.3371595330739301
C168,broad,25.0,SCREEN 4bIS [PUB],0.25@0.1,9,0.1,False,0,False,0.1230347117380548,0.7050046085238197,-0.23212232527070165,False,H1|H2|OOS|DD,True,False,0.0,0.0,0.15539928865606328,0.8820239235972316,0.011143568780353386,0.1545044425578177,-0.26721084947028584,-0.3371595330739301
C168,broad,25.0,SIZE n>=10,0.75@0.15,14,0.15,True,66,True,0.13433585794437342,0.8032719520730026,-0.2443675448134388,False,H1|OOS|DD,True,False,0.09826734354918287,0.012245219542737162,0.15539928865606328,0.8820239235972316,0.011143568780353386,0.1545044425578177,-0.26721084947028584,-0.3371595330739301
C168,broad,25.0,SIZE n>=15,0.75@0.2,18,0.2,True,55,True,0.13598638363744087,0.8575129357724778,-0.21927266196828576,False,H1|OOS|DD,True,False,0.15250832724865804,-0.012849663302415881,0.15539928865606328,0.8820239235972316,0.011143568780353386,0.1545044425578177,-0.26721084947028584,-0.3371595330739301
