claimset,L,n_figs,n_rederivable,coverage,n_ladder_dep,n_moved,share_moved,med_rel_move
C_STRICT,L2,15066,13015,0.8638656577724678,8479.0,4608.0,0.5434603137162402,0.5463961103650742
C_STRICT,L3,15066,13015,0.8638656577724678,8479.0,2348.0,0.27691944804811885,0.16350996577637705
C_STRICT,L4,15066,13015,0.8638656577724678,8479.0,2230.0,0.26300271258403113,0.17518293368043247
C_STRICT,L6,15066,13015,0.8638656577724678,8479.0,1724.0,0.2033258638990447,0.11721850722376807
C_STRICT,L8,15066,13015,0.8638656577724678,8479.0,1991.0,0.23481542634744662,0.15228759702371159
C_WIDE,L2,68526,65373,0.9539882672270379,8479.0,4608.0,0.5434603137162402,0.5463961103650742
C_WIDE,L3,68526,65373,0.9539882672270379,8479.0,2348.0,0.27691944804811885,0.16350996577637705
C_WIDE,L4,68526,65373,0.9539882672270379,8479.0,2230.0,0.26300271258403113,0.17518293368043247
C_WIDE,L6,68526,65373,0.9539882672270379,8479.0,1724.0,0.2033258638990447,0.11721850722376807
C_WIDE,L8,68526,65373,0.9539882672270379,8479.0,1991.0,0.23481542634744662,0.15228759702371159
C_PROSE,L2,96,73,0.7604166666666666,,,,
C_PROSE,L3,96,73,0.7604166666666666,,,,
C_PROSE,L4,96,73,0.7604166666666666,,,,
C_PROSE,L6,96,73,0.7604166666666666,,,,
C_PROSE,L8,96,73,0.7604166666666666,,,,
