panel,label,is808,form,gross,family,lag,cost,window,leg,margin0,spread,sd,ratio,absratio,n_off,flips,flip_rate
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,10.0,FULL,H1,0.20394483434905175,0.10254896891140608,0.028011559036867105,1.9887555819819447,1.9887555819819447,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,10.0,FULL,H2,0.15065225072286903,0.10385359465044619,0.03137460503990252,1.4506214371292518,1.4506214371292518,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,10.0,FULL,OOS,0.1983568373737411,0.09718118064453829,0.030199933209561162,2.0411033911933547,2.0411033911933547,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,10.0,FULL,DD,5.431943086850449,2.992003746777894,1.037022453579593,1.8154867261446912,1.8154867261446912,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,10.0,FULL,CAGR,-2.886388231973655,0.6522126028072339,0.17268710237626175,-4.425532747374322,4.425532747374322,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,10.0,IS,H1,0.06355469638758271,0.19882728655745108,0.054669368446168765,0.3196477580516525,0.3196477580516525,11,1,0.09090909090909091
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,10.0,IS,H2,0.18017162013261845,0.1278700430580404,0.03879821424739078,1.4090213456081992,1.4090213456081992,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,10.0,IS,OOS,0.18017162013261845,0.1278700430580404,0.03879821424739078,1.4090213456081992,1.4090213456081992,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,10.0,IS,DD,5.814235620373812,0.5049313712211179,0.12391533991743552,11.514902720963363,11.514902720963363,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,10.0,IS,CAGR,-3.0480392493411808,0.8313564023779252,0.227578323478484,-3.666344831919123,3.666344831919123,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,10.0,OOS,H1,0.15966509541586038,0.22602461206745916,0.0736210111342918,0.7064057934018567,0.7064057934018567,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,10.0,OOS,H2,0.2422075434586437,0.20410479011828653,0.06506160785469879,1.1866823082313511,1.1866823082313511,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,10.0,OOS,OOS,0.2422075434586437,0.20410479011828653,0.06506160785469879,1.1866823082313511,1.1866823082313511,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,10.0,OOS,DD,5.431943086850458,2.992003746777927,1.0370224535795902,1.8154867261446743,1.8154867261446743,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,10.0,OOS,CAGR,-2.752747912789444,0.6889081865042668,0.24460929206800333,-3.9958124561674007,3.9958124561674007,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,25.0,FULL,H1,0.15330492234162874,0.1034488403667102,0.028113402571565176,1.4819394958724177,1.4819394958724177,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,25.0,FULL,H2,0.09633046955028612,0.10063119875012505,0.030695214641028243,0.9572624667771477,0.9572624667771477,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,25.0,FULL,OOS,0.14487455999714383,0.09405302991496756,0.02945624614360685,1.5403497381011917,1.5403497381011917,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,25.0,FULL,DD,5.355786933098977,2.9170818563480356,1.0085944597324323,1.83600844845815,1.83600844845815,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,25.0,FULL,CAGR,-3.2955145977555307,0.6465464841701074,0.17180997679491114,-5.097103887256582,5.097103887256582,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,25.0,IS,H1,0.009522615060228001,0.20056434260916323,0.05493354558617059,0.04747910289709164,0.04747910289709164,11,7,0.6363636363636364
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,25.0,IS,H2,0.13172069610681936,0.1278230736144812,0.0385279958676655,1.0304923233507397,1.0304923233507397,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,25.0,IS,OOS,0.13172069610681936,0.1278230736144812,0.0385279958676655,1.0304923233507397,1.0304923233507397,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,25.0,IS,DD,5.743219203217912,0.45854370131389643,0.11177948593115104,12.524911337265076,12.524911337265076,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,25.0,IS,CAGR,-3.434296437850623,0.8373437889006574,0.2285674958122868,-4.101417462425423,4.101417462425423,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,25.0,OOS,H1,0.11509413133588586,0.22374200004922673,0.07225695873131005,0.5144055711961248,0.5144055711961248,11,0,0.0
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,25.0,OOS,H2,0.17736063980052652,0.20248787550339686,0.06489921747944505,0.875907455493804,0.875907455493804,11,2,0.18181818181818182
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,25.0,OOS,OOS,0.17736063980052652,0.20248787550339686,0.06489921747944505,0.875907455493804,0.875907455493804,11,2,0.18181818181818182
B136,EWELIG@050,False,EWELIG,0.5,MONTHLY11,1,25.0,OOS,DD,5.355786933098964,2.9170818563480356,1.0085944597324368,1.8360084484581454,1.8360084484581454,11,0,0.0
