form,floor,years,lose_years,lose_sum,total,d2020_vs_ung,d2022_vs_ung
SIZE,0.1,18,8,-0.21525545572504645,0.10420574126812654,0.14685664869754245,0.02347596526009621
SIZE,0.25,18,8,-0.17882405766939835,0.08895631861042175,0.12278030215984237,0.020016265883078255
SIZE,0.4,18,8,-0.1427269818846988,0.07259290009564268,0.09850996167516834,0.016372261086709416
SIZE,0.5,18,8,-0.11868259477690579,0.06140705402764157,0.08223472285634559,0.013841646828755771
SIZE,0.6,18,8,-0.09472953661571759,0.049864420374952645,0.06589231632893511,0.011230819840911677
SIZE,0.75,18,8,-0.05897456881958041,0.03189741079640018,0.04126916112670842,0.007165752526672398
SIZE,0.9,18,8,-0.023572266559598654,0.012897456109904226,0.016536766539349657,0.0029243219384612607
GATE,0.5,18,7,-0.13235857527039263,0.160954330154358,0.07923216129938648,0.04077832997575592
