conv,rows,in_band,med_cstar
warm260,624,26,-16.011450403433262
2009,624,26,-15.996814925350318
2010,624,26,-17.07614559596245
full,624,28,-17.459628864074983
"warm260, RECOVERED vol on every row",624,26,-15.940153236078377
