panel,cadence,cost,rank_gain,null_gain,excess,rank_oos_gain,null_oos_gain,excess_oos,null_gain_sd
U56,D,0.0,-0.0829811497749362,0.027178485333536506,-0.11015963510847271,-0.08807830546325368,-0.020083099720834996,-0.06799520574241869,0.08790909747499588
U56,D,10.0,-0.09075334303500604,0.017689325953569868,-0.10844266898857591,-0.09547732287348665,-0.02851464409158133,-0.06696267878190532,0.08788924570642152
U56,D,25.0,-0.10239933211489172,0.003468050850782556,-0.10586738296567427,-0.10657046234695922,-0.041138478257973954,-0.06543198408898526,0.08786135798108222
U56,D,50.0,-0.12177755281149838,-0.020211450264579267,-0.10156610254691911,-0.12504629642144516,-0.06212439517114898,-0.06292190125029617,0.08782057890133173
U56,M,0.0,-0.09002150277288878,-0.0024532318799230235,-0.08756827089296576,-0.1318108315259825,-0.06291689226081787,-0.06889393926516463,0.0638655733544396
U56,M,10.0,-0.08466013674575601,0.005702864798088458,-0.09036300154384447,-0.1263512670473168,-0.0568318434679026,-0.06951942357941421,0.06377463615692733
U56,M,25.0,-0.07666044609252287,0.017365875457642288,-0.09402632155016516,-0.11818437369225054,-0.047803793496603963,-0.07038058019564658,0.06365389408524871
U56,M,50.0,-0.06343519955608534,0.03650497850797263,-0.09994017806405797,-0.10462965933005408,-0.03254492535288278,-0.0720847339771713,0.06349762259964568
U56,Q,0.0,-0.00950554637945511,0.04871005522122107,-0.05821560160067618,-0.0031251082113716855,0.08627878641746617,-0.08940389462883785,0.04762402532110355
U56,Q,10.0,-0.0003958455112500481,0.061234272852418115,-0.06163011836366816,0.005800851164446286,0.09873879928206653,-0.09293794811762024,0.04770192394194151
U56,Q,25.0,0.013188823867669397,0.07985256148137293,-0.06666373761370353,0.0191003806686445,0.11725204939065026,-0.09815166872200576,0.04784644341910658
U56,Q,50.0,0.035622307625885696,0.11173642217733742,-0.07611411455145173,0.041033151363882636,0.14765865525560823,-0.10662550389172559,0.048162923246828415
B135,D,0.0,-0.0634727075715873,-0.046057576026309555,-0.01741513154527774,-0.08229357983501484,-0.02249967983970741,-0.05979389999530743,0.0667872427595503
B135,D,10.0,-0.06853183906180549,-0.05218617422721561,-0.01634566483458988,-0.08594167240038553,-0.028239052148410104,-0.05770262025197542,0.06627786910439792
B135,D,25.0,-0.07607087650551214,-0.06134850900525046,-0.01472236750026168,-0.09139088251009042,-0.03683345082970502,-0.054557431680385404,0.06552269450659609
B135,D,50.0,-0.08851418122331745,-0.07655361140796346,-0.011960569815353983,-0.10042145946899284,-0.05113584181330405,-0.049285617655688785,0.06429174106798587
B135,M,0.0,0.003801606770548638,-0.04307142480099546,0.0468730315715441,0.05013199043105909,-0.07168407360277446,0.12181606403383355,0.11586218441918865
B135,M,10.0,0.009616954542143397,-0.036766385313893646,0.04638333985603704,0.057001500111684145,-0.06611031381691063,0.12311181392859477,0.11602765803923915
B135,M,25.0,0.018338553556546566,-0.027382128614425794,0.04572068217097236,0.06730009243738322,-0.05781006621431717,0.1251101586517004,0.11627049180908952
B135,M,50.0,0.03286032900459701,-0.012413651555351068,0.04527398055994808,0.08443867880261291,-0.04412310867269692,0.12856178747530983,0.1166594151173902
B135,Q,0.0,-0.08794748662324015,-0.0801792654142468,-0.007768221208993342,-0.07295011453516453,0.018311502033243943,-0.09126161656840848,0.096472364833188
B135,Q,10.0,-0.07954312190943458,-0.06889385893057315,-0.010649262978861429,-0.06497571622019216,0.030407246181898273,-0.09538296240209043,0.0959079012871949
B135,Q,25.0,-0.06695757795234525,-0.05219129364063957,-0.01476628431170568,-0.053056837247589916,0.04571983119269063,-0.09877666844028055,0.09505214720328714
B135,Q,50.0,-0.04604505643624235,-0.024902820643585677,-0.021142235792656672,-0.03330923826051557,0.07029763171305542,-0.10360686997357099,0.09360774192611257
SMALL663,D,0.0,-0.04263162918552221,-0.0021184334270398786,-0.040513195758482334,-0.07918915151524475,-0.036927207099577475,-0.042261944415667274,0.14873707549630674
SMALL663,D,10.0,-0.052471297536349104,-0.012999441261436429,-0.039471856274912676,-0.08963729396665904,-0.04743878020221526,-0.04219851376444378,0.14775763440036455
SMALL663,D,25.0,-0.06725834286632892,-0.029325110515408453,-0.03793323235092047,-0.10531817955515499,-0.06318728264266407,-0.04213089691249092,0.14623338747235484
SMALL663,D,50.0,-0.09195669211317503,-0.056505335714562094,-0.03545135639861294,-0.13145186011722174,-0.08936234012574609,-0.042089519991475643,0.143562930849404
SMALL663,M,0.0,-0.13385428237249852,0.05086889275604334,-0.18472317512854186,-0.21384300675580797,-0.026713244229766703,-0.18712976252604127,0.15926486337037243
SMALL663,M,10.0,-0.12863212503379545,0.054655679190815265,-0.18328780422461072,-0.20792573796255437,-0.023845172580665597,-0.18408056538188877,0.158866297820158
SMALL663,M,25.0,-0.12079714697093741,0.060294087521446604,-0.181091234492384,-0.19902732408046972,-0.019555043135078942,-0.17947228094539078,0.15821154197119633
SMALL663,M,50.0,-0.10774796827387301,0.06957235649863999,-0.177320324772513,-0.18415528171744247,-0.012436108714212232,-0.17171917300323025,0.15697591931570193
SMALL663,Q,0.0,-0.09340533974520937,-0.12820564625493816,0.03480030650972879,-0.029860792262323133,-0.15104678528213966,0.12118599301981653,0.14232332528019134
SMALL663,Q,10.0,-0.0839111416916844,-0.11841368900135796,0.03450254730967356,-0.02054790404297685,-0.14258784553345646,0.12203994149047961,0.1419433423750858
SMALL663,Q,25.0,-0.0696743494109191,-0.10368535870368287,0.034011009292763766,-0.0065855386666232585,-0.12986660856495005,0.1232810698983268,0.14133037248492103
SMALL663,Q,50.0,-0.045988609650085444,-0.07908478810149708,0.033096178451411634,0.01663750944504344,-0.10861730021125393,0.12525480965629737,0.1402005300071033
