panel,tau,mode,null,phi,cost,on_share,TO_base,TO_real,fid_mean,fid_max,fidb_mean,fidb_max,IS_fidb_mean,overlap_mean,switch_match
U56,0.05,skip,ROT,,10,0.882051282051282,9.456222813553502,1.4402144692265686,0.48226009361963235,0.613823528041869,0.07344983070471348,0.09348738328907803,0.06952427192782773,0.880813953488372,1.0
U56,0.05,skip,ROT,,25,0.882051282051282,9.456222813553502,1.4402144692265686,0.48226009361963235,0.613823528041869,0.07344983070471348,0.09348738328907803,0.06952427192782773,0.880813953488372,1.0
U56,0.05,skip,MC,,10,0.882051282051282,9.456222813553502,1.4402144692265686,0.8374587343949331,0.9473124107262422,0.12754777572785547,0.14427885929785328,0.1182861322353955,0.882732558139535,0.0
U56,0.05,skip,MC,,25,0.882051282051282,9.456222813553502,1.4402144692265686,0.8374587343949331,0.9473124107262422,0.12754777572785547,0.14427885929785328,0.1182861322353955,0.882732558139535,0.0
U56,0.05,skip,RUN,,10,0.882051282051282,9.456222813553502,1.4402144692265686,0.4932786956758348,0.6920310136392168,0.0751280007758805,0.10539864580688688,0.08332831681527218,0.8812209302325581,1.0
U56,0.05,skip,RUN,,25,0.882051282051282,9.456222813553502,1.4402144692265686,0.4932786956758348,0.6920310136392168,0.0751280007758805,0.10539864580688688,0.08332831681527218,0.8812209302325581,1.0
U56,0.05,skip,STRAT,1.0,10,0.882051282051282,9.456222813553502,1.4402144692265686,0.0,0.0,0.0,0.0,0.0,1.0,1.0
U56,0.05,skip,STRAT,1.0,25,0.882051282051282,9.456222813553502,1.4402144692265686,0.0,0.0,0.0,0.0,0.0,1.0,1.0
U56,0.05,skip,STRAT,0.75,10,0.882051282051282,9.456222813553502,1.4402144692265686,0.8679480738678812,1.0476759498527994,0.1321914044506435,0.15956456312302963,0.13593139461599818,0.8824418604651164,0.0
U56,0.05,skip,STRAT,0.75,25,0.882051282051282,9.456222813553502,1.4402144692265686,0.8679480738678812,1.0476759498527994,0.1321914044506435,0.15956456312302963,0.13593139461599818,0.8824418604651164,0.0
U56,0.05,skip,STRAT,0.5,10,0.882051282051282,9.456222813553502,1.4402144692265686,0.871256184333558,1.0154139528362656,0.1326952407764584,0.1546509527073825,0.12750307159264446,0.8818023255813954,0.0
U56,0.05,skip,STRAT,0.5,25,0.882051282051282,9.456222813553502,1.4402144692265686,0.871256184333558,1.0154139528362656,0.1326952407764584,0.1546509527073825,0.12750307159264446,0.8818023255813954,0.0
U56,0.05,skip,STRAT,0.25,10,0.882051282051282,9.456222813553502,1.4402144692265686,0.8504957534714037,0.9585201224799198,0.12953335748493974,0.14598583141059068,0.1268314212998372,0.881686046511628,0.0
U56,0.05,skip,STRAT,0.25,25,0.882051282051282,9.456222813553502,1.4402144692265686,0.8504957534714037,0.9585201224799198,0.12953335748493974,0.14598583141059068,0.1268314212998372,0.881686046511628,0.0
U56,0.05,half,ROT,,10,0.882051282051282,9.456222813553502,6.2656852088032755,0.05169695193708711,0.06304076918643507,0.034254356467590216,0.04177076014715807,0.028289254695944815,0.8829069767441862,1.0
U56,0.05,half,ROT,,25,0.882051282051282,9.456222813553502,6.2656852088032755,0.05169695193708711,0.06304076918643507,0.034254356467590216,0.04177076014715807,0.028289254695944815,0.8829069767441862,1.0
U56,0.05,half,MC,,10,0.882051282051282,9.456222813553502,6.2656852088032755,0.057416763917835234,0.06298463933193105,0.03804429903044335,0.04173356855321274,0.03788509470849882,0.8828488372093025,0.0
U56,0.05,half,MC,,25,0.882051282051282,9.456222813553502,6.2656852088032755,0.057416763917835234,0.06298463933193105,0.03804429903044335,0.04173356855321274,0.03788509470849882,0.8828488372093025,0.0
U56,0.05,half,RUN,,10,0.882051282051282,9.456222813553502,6.2656852088032755,0.053105638230362774,0.06263354296320897,0.035187750809670494,0.04150093239734579,0.03508781054704429,0.8847674418604653,1.0
U56,0.05,half,RUN,,25,0.882051282051282,9.456222813553502,6.2656852088032755,0.053105638230362774,0.06263354296320897,0.035187750809670494,0.04150093239734579,0.03508781054704429,0.8847674418604653,1.0
U56,0.05,half,STRAT,1.0,10,0.882051282051282,9.456222813553502,6.2656852088032755,0.0,0.0,0.0,0.0,0.0,1.0,1.0
U56,0.05,half,STRAT,1.0,25,0.882051282051282,9.456222813553502,6.2656852088032755,0.0,0.0,0.0,0.0,0.0,1.0,1.0
