leg,model,cells,med_fit_oofR2,med_tr_rho,tr_rho_ge_0p20,med_tr_R2c,tr_R2c_le_0,med_dec_gain,dec_t_ge_2,dec_t_abs_lt_2,med_argmax_pctile,tr_rho_t_ge_2,med_rho_y1y2,rho_y1y2_t_ge_2
TRANSFER(IS1->IS2),sd,36,0.03507587444066368,-0.004771075084300337,7,-0.04517866178519159,32,0.011152583235831674,9,25,0.706,9,-0.02492577970311881,16
TRANSFER(IS1->IS2),M,36,0.7091407120246493,-0.011820239280957122,2,-0.7252064503451103,36,0.005074613556655783,8,24,0.541,6,-0.02492577970311881,16
TRANSFER(IS1->IS2),M+sd,36,0.7116126379390515,-0.015619598478393913,2,-0.7219093124807819,36,0.006757105680756062,6,24,0.617,6,-0.02492577970311881,16
OOS(IS->OOS),sd,36,0.03243108721659471,0.06053813015252062,10,-0.018006456674975357,27,0.007666130407046369,11,22,0.5509999999999999,15,0.054580682322729286,20
OOS(IS->OOS),M,36,0.6987454419388777,0.053804615218460874,13,-0.5918037780025734,35,0.0026616941078101107,15,19,0.82,15,0.054580682322729286,20
OOS(IS->OOS),M+sd,36,0.701773821758192,0.05555499021996088,13,-0.6081765643304158,35,0.006494583305970018,15,19,0.8049999999999999,16,0.054580682322729286,20
