q,clause,claims,content_kept,content_kept_frac,MEASURED_FAMILY,TRANSFERRED_STAT,TRANSFERRED_OVERALL
0.8,ANNOTATED,200,200.0,1.0,134,24,42
0.8,AS_WRITTEN,200,80.22656249999999,0.40113281249999994,134,24,42
0.8,LONGER_TAPE,200,105.31250000000003,0.5265625000000002,134,24,42
0.8,LONGER_TAPE_M4,200,133.32812499999994,0.6666406249999998,134,24,42
0.8,LONGER_TAPE_M8,200,155.6484374999999,0.7782421874999994,134,24,42
0.8,WIDER_RUNGS,200,48.78645833333335,0.24393229166666675,134,24,42
0.8,WIDER_RUNGS_ENDS,200,12.502604166666671,0.06251302083333336,134,24,42
0.9,ANNOTATED,200,200.0,1.0,134,24,42
0.9,AS_WRITTEN,200,46.87152777777782,0.2343576388888891,134,24,42
0.9,LONGER_TAPE,200,70.80468749999999,0.3540234374999999,134,24,42
0.9,LONGER_TAPE_M4,200,102.33333333333333,0.5116666666666666,134,24,42
0.9,LONGER_TAPE_M8,200,123.3333333333333,0.6166666666666665,134,24,42
0.9,WIDER_RUNGS,200,29.4609375,0.1473046875,134,24,42
0.9,WIDER_RUNGS_ENDS,200,7.0312499999999885,0.035156249999999944,134,24,42
0.95,ANNOTATED,200,200.0,1.0,134,24,42
0.95,AS_WRITTEN,200,34.726562499999986,0.17363281249999993,134,24,42
0.95,LONGER_TAPE,200,57.262152777777665,0.2863107638888883,134,24,42
0.95,LONGER_TAPE_M4,200,82.71093749999997,0.41355468749999985,134,24,42
0.95,LONGER_TAPE_M8,200,107.79687500000003,0.5389843750000002,134,24,42
0.95,WIDER_RUNGS,200,17.850694444444432,0.08925347222222216,134,24,42
0.95,WIDER_RUNGS_ENDS,200,3.9800347222222197,0.0199001736111111,134,24,42
