reading,bar,n_claim_files,n_publish,publish_share,n_below_bar,below_share,n_below_and_publish,n_mention_warmup
TIGHT,0.5,7,2,0.2857142857142857,0,0.0,0,5
TIGHT,0.8,7,2,0.2857142857142857,4,0.5714285714285714,2,5
TIGHT,0.9,7,2,0.2857142857142857,4,0.5714285714285714,2,5
TIGHT,0.95,7,2,0.2857142857142857,4,0.5714285714285714,2,5
TIGHT,1.0,7,2,0.2857142857142857,7,1.0,2,5
LOOSE,0.5,50,4,0.08,0,0.0,0,27
LOOSE,0.8,50,4,0.08,14,0.28,4,27
LOOSE,0.9,50,4,0.08,21,0.42,4,27
LOOSE,0.95,50,4,0.08,25,0.5,4,27
LOOSE,1.0,50,4,0.08,50,1.0,4,27
