K,basis,chooser,pct_median,pct_min,pct_max,score_median,n
1,SEQ,IS_SHARPE,0.58575,0.08425,0.91425,1.250153648924138,6
1,SEQ,IS_LEGS,0.360375,0.0335,0.75775,1.1884740503189368,6
1,SEQ,IS_CAGR,0.8591249999999999,0.75325,0.91975,1.2868505747025645,6
1,FIXED,IS_SHARPE,0.5833333333333333,0.08333333333333333,0.9166666666666666,1.250153648924138,6
1,FIXED,IS_LEGS,0.36111111111111116,0.027777777777777776,0.75,1.1884740503189368,6
1,FIXED,IS_CAGR,0.8611111111111112,0.75,0.9166666666666666,1.2868505747025645,6
1,RAW,IS_SHARPE,0.5833333333333333,0.08333333333333333,0.9166666666666666,1.250153648924138,6
1,RAW,IS_LEGS,0.36111111111111116,0.027777777777777776,0.75,1.1884740503189368,6
1,RAW,IS_CAGR,0.8611111111111112,0.75,0.9166666666666666,1.2868505747025645,6
2,SEQ,IS_SHARPE,0.45362499999999994,0.0765,0.73675,1.2098370095104323,6
2,SEQ,IS_LEGS,0.10975000000000001,0.0025,0.73675,1.1575926296958576,6
2,SEQ,IS_CAGR,0.78325,0.5685,0.82825,1.246430663536891,6
2,FIXED,IS_SHARPE,0.5416666666666667,0.1388888888888889,0.6944444444444444,1.2098370095104323,6
2,FIXED,IS_LEGS,0.25,0.027777777777777776,0.6944444444444444,1.1575926296958576,6
2,FIXED,IS_CAGR,0.6944444444444444,0.4722222222222222,0.7777777777777778,1.246430663536891,6
2,RAW,IS_SHARPE,0.4722222222222222,0.027777777777777776,0.9166666666666666,1.1691811228369065,12
2,RAW,IS_LEGS,0.2222222222222222,0.027777777777777776,0.75,1.1267112090727784,12
2,RAW,IS_CAGR,0.6944444444444444,0.3055555555555556,0.9166666666666666,1.2566002517069927,12
4,SEQ,IS_SHARPE,0.21100000000000002,0.02,0.886,1.1477632859542979,6
4,SEQ,IS_LEGS,0.0335,0.0,0.886,1.1104854103379733,6
4,SEQ,IS_CAGR,0.8220000000000001,0.621,0.8845,1.1973195321944183,6
4,FIXED,IS_SHARPE,0.3055555555555556,0.1388888888888889,0.75,1.1477632859542979,6
4,FIXED,IS_LEGS,0.19444444444444442,0.027777777777777776,0.75,1.1104854103379733,6
4,FIXED,IS_CAGR,0.6666666666666666,0.4722222222222222,0.75,1.1973195321944183,6
4,RAW,IS_SHARPE,0.25,0.027777777777777776,0.9166666666666666,1.1088535815060303,24
4,RAW,IS_LEGS,0.19444444444444445,0.027777777777777776,0.8055555555555556,1.0996366261297932,24
4,RAW,IS_CAGR,0.6111111111111112,0.3055555555555556,0.9166666666666666,1.1970064551855213,24
8,SEQ,IS_SHARPE,0.07275000000000001,0.0,0.969,1.1264089281259153,6
8,SEQ,IS_LEGS,0.00425,0.0,0.969,1.0970437253048542,6
8,SEQ,IS_CAGR,0.858,0.544,0.9465,1.1814711247437937,6
8,FIXED,IS_SHARPE,0.2777777777777778,0.1388888888888889,0.75,1.1264089281259153,6
8,FIXED,IS_LEGS,0.16666666666666666,0.027777777777777776,0.75,1.0970437253048542,6
8,FIXED,IS_CAGR,0.6666666666666666,0.4722222222222222,0.7222222222222222,1.1814711247437937,6
8,RAW,IS_SHARPE,0.25,0.027777777777777776,0.9166666666666666,1.1011952826188969,48
8,RAW,IS_LEGS,0.19444444444444445,0.027777777777777776,0.8055555555555556,1.0983476298984944,48
8,RAW,IS_CAGR,0.5833333333333334,0.3055555555555556,0.9166666666666666,1.1754113913047282,48
16,SEQ,IS_SHARPE,0.02275,0.0,0.9995,1.1210108364931517,6
16,SEQ,IS_LEGS,0.00125,0.0,0.9995,1.090946830798617,6
16,SEQ,IS_CAGR,0.87975,0.308,0.9865,1.1697480168658934,6
16,FIXED,IS_SHARPE,0.2777777777777778,0.1388888888888889,0.75,1.1210108364931517,6
16,FIXED,IS_LEGS,0.16666666666666666,0.027777777777777776,0.75,1.090946830798617,6
16,FIXED,IS_CAGR,0.5833333333333334,0.3888888888888889,0.6944444444444444,1.1697480168658934,6
16,RAW,IS_SHARPE,0.25,0.027777777777777776,0.9166666666666666,1.103288981436867,96
16,RAW,IS_LEGS,0.19444444444444445,0.027777777777777776,0.8055555555555556,1.0996366261297932,96
16,RAW,IS_CAGR,0.5833333333333334,0.1388888888888889,0.9166666666666666,1.1751019729652883,96
