check,field,n,maxabsdiff,verdict
[a] idea159 grid @10bps,CAGR,189,9.71445146547012e-17,MATCH
[a] idea159 grid @10bps,Sharpe,189,2.220446049250313e-16,MATCH
[a] idea159 grid @10bps,MaxDD,189,8.326672684688674e-17,MATCH
[a] idea159 grid @10bps,H1,189,2.220446049250313e-16,MATCH
[a] idea159 grid @10bps,H2,189,2.220446049250313e-16,MATCH
[c] exact lever,u56/NONE/m=0.53/g=0.4,4439,0.0010926993226865953,"genuine CAGR 6.8100% vs lever-predicted 6.8214% (dCAGR 0.0113%, dMaxDD 0.0933%)"
[c] exact lever,u56/NONE/m=0.53/g=1.0,4439,0.002136388546064766,"genuine CAGR 17.0439% vs lever-predicted 17.0264% (dCAGR 0.0175%, dMaxDD 0.1565%)"
[c] exact lever,u56/INV/m=0.2/g=0.4,4439,0.00027482152688214703,"genuine CAGR 4.1551% vs lever-predicted 4.1532% (dCAGR 0.0020%, dMaxDD 0.0135%)"
[c] exact lever,u56/INV/m=0.2/g=1.0,4439,0.0005185257176443248,"genuine CAGR 10.0880% vs lever-predicted 10.0967% (dCAGR 0.0087%, dMaxDD 0.0237%)"
[c] exact lever,broad/NONE/m=0.53/g=0.4,4439,0.0015980461622610923,"genuine CAGR 6.3888% vs lever-predicted 6.4034% (dCAGR 0.0146%, dMaxDD 0.0268%)"
[c] exact lever,broad/NONE/m=0.53/g=1.0,4439,0.003157966794639991,"genuine CAGR 15.9281% vs lever-predicted 15.9043% (dCAGR 0.0238%, dMaxDD 0.0330%)"
[c] exact lever,broad/INV/m=0.2/g=0.4,4439,0.0011880398383433098,"genuine CAGR 4.4243% vs lever-predicted 4.4329% (dCAGR 0.0086%, dMaxDD 0.0143%)"
[c] exact lever,broad/INV/m=0.2/g=1.0,4439,0.0023153382623497254,"genuine CAGR 10.8093% vs lever-predicted 10.7975% (dCAGR 0.0118%, dMaxDD 0.0298%)"
[c] exact lever,small/NONE/m=0.53/g=0.4,3934,0.0024112693684339714,"genuine CAGR 2.9715% vs lever-predicted 2.9826% (dCAGR 0.0111%, dMaxDD 0.1886%)"
[c] exact lever,small/NONE/m=0.53/g=1.0,3934,0.0049023700953537,"genuine CAGR 6.4865% vs lever-predicted 6.4707% (dCAGR 0.0158%, dMaxDD 0.2638%)"
[c] exact lever,small/INV/m=0.2/g=0.4,3934,0.0024112693684339714,"genuine CAGR 3.3022% vs lever-predicted 3.3066% (dCAGR 0.0044%, dMaxDD 0.1964%)"
[c] exact lever,small/INV/m=0.2/g=1.0,3934,0.0049023700953537,"genuine CAGR 7.4898% vs lever-predicted 7.4861% (dCAGR 0.0037%, dMaxDD 0.2755%)"
[b] VM achieves SPY vol,mean|achieved/target-1| (lever),9,1.4802973661668753e-16,by construction
[b] VM achieves SPY vol,mean|achieved/target-1| (GENUINE),9,0.001178686498474783,the real accuracy of idea 156's formula
