sel,panel,book,cost,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,v2_OOS_Sharpe,v2_OOS_CAGR,v2_OOS_MaxDD,v1_OOS_Sharpe,ctl_OOS_Sharpe,ctl_OOS_CAGR,ctl_OOS_MaxDD,pick,family,dial,n_admitted,IS_rate,OOS_rate,OOS_lever,OOS_vs_matchedDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_m_Sharpe,OOS_m_DD,OOS_m_CAGR,OOS_pass4b,beat_spy,beat_v2,beat_ctl
S_price,u56,V1u,10.0,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815,0.747063834691694,0.7135835570891119,0.07167644913632909,-0.15672092223908363,SLV3-5,SLV3,0.05,30,0.04116938768792166,0.22363937046524462,0.4876837213658212,0.15431828984484142,0.07023481860628422,0.7231001934764232,-0.1502746935314737,-0.15891057370586104,0.052028718168915994,-0.037920205255168635,False,False,False,True
S_sharpe,u56,V1u,10.0,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815,0.747063834691694,0.7135835570891119,0.07167644913632909,-0.15672092223908363,SLV3-50,SLV3,0.5,35,0.09430911782797267,0.3262357264119758,0.7114125422911601,0.7085075583144,0.05466430823365909,0.8255067255481701,-0.10457414760537354,-0.056504041634114155,0.09772926409501617,-0.05349071562779377,False,False,False,True
S_4bIS,u56,V1u,10.0,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815,0.747063834691694,0.7135835570891119,0.07167644913632909,-0.15672092223908363,(none),(none),,0,,,,,,,,,,,,,,
S_4bIS_sleeve,u56,V1u,10.0,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815,0.747063834691694,0.7135835570891119,0.07167644913632909,-0.15672092223908363,(none),(none),,0,,,,,,,,,,,,,,
S_4bIS_price,u56,V1u,10.0,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815,0.747063834691694,0.7135835570891119,0.07167644913632909,-0.15672092223908363,(none),(none),,0,,,,,,,,,,,,,,
S_fam:SLV3,u56,V1u,10.0,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815,0.747063834691694,0.7135835570891119,0.07167644913632909,-0.15672092223908363,SLV3-5,SLV3,0.05,6,0.04116938768792166,0.22363937046524462,0.4876837213658212,0.15431828984484142,0.07023481860628422,0.7231001934764232,-0.1502746935314737,-0.15891057370586104,0.052028718168915994,-0.037920205255168635,False,False,False,True
S_fam:SLV4,u56,V1u,10.0,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815,0.747063834691694,0.7135835570891119,0.07167644913632909,-0.15672092223908363,SLV4-5,SLV4,0.05,6,0.11543727473781731,0.2398328317555704,0.5229963206073164,0.12282582426782707,0.0703566593367515,0.7235324798839222,-0.15121796507547614,-0.158478287298362,0.05108544662491357,-0.03779836452470135,False,False,False,True
S_fam:g200,u56,V1u,10.0,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815,0.747063834691694,0.7135835570891119,0.07167644913632909,-0.15672092223908363,(none),(none),,0,,,,,,,,,,,,,,
S_fam:band3,u56,V1u,10.0,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815,0.747063834691694,0.7135835570891119,0.07167644913632909,-0.15672092223908363,(none),(none),,0,,,,,,,,,,,,,,
S_fam:DEGROSS,u56,V1u,10.0,0.8820107671822842,0.15450717694493266,-0.33717235283398284,1.285072363206482,0.09534722887472857,-0.12054942313126815,0.747063834691694,0.7135835570891119,0.07167644913632909,-0.15672092223908363,degross-0.95,DEGROSS,0.95,18,0.39605625799368865,0.4630325053421777,1.00972120807193,0.0,0.06828744653592755,0.7139029073926728,-0.14940177604243143,-0.1681078597896114,0.052901635657958274,-0.0398675773255253,False,False,False,True
