rule,basis,k,n_moved,n_4b_full,null_4b_p10,null_4b_p50,null_4b_p90,pctile_4b,mean_OOS_Sharpe,null_S_p50,pctile_Sharpe
R_RAW,-,,59,6,6.0,6.0,6.0,0.5,0.7995575457617328,0.7995575457617328,0.5
R_BAR,-,,13,19,18.0,20.0,22.0,0.263,0.7886717099917357,0.7923637851284335,0.248
R_SE k=0.25 SE_JOINT,SE_JOINT,0.25,47,10,8.0,9.0,11.0,0.627,0.7894706707062342,0.7978281747768077,0.056
R_SE k=0.5 SE_JOINT,SE_JOINT,0.5,41,11,10.0,12.0,13.0,0.35,0.7828547582649805,0.7971227941058479,0.006
R_SE k=1.0 SE_JOINT,SE_JOINT,1.0,28,17,13.0,15.0,18.0,0.815,0.7870014984551358,0.7947582019344501,0.1
R_SE k=1.5 SE_JOINT,SE_JOINT,1.5,19,19,16.0,18.0,20.0,0.6859999999999999,0.79415254354145,0.7928033833135242,0.586
R_SE k=2.0 SE_JOINT,SE_JOINT,2.0,9,20,19.0,21.0,23.0,0.191,0.7899168721565083,0.791085951080545,0.396
R_SE k=3.0 SE_JOINT,SE_JOINT,3.0,8,21,20.0,22.0,23.0,0.309,0.7898707415343836,0.7911467420743117,0.396
R_SE k=0.25 SE_MARGINAL,SE_MARGINAL,0.25,29,15,13.0,15.0,17.100000000000023,0.46099999999999997,0.7828036841523868,0.7944155429977425,0.042
R_SE k=0.5 SE_MARGINAL,SE_MARGINAL,0.5,18,19,16.0,18.0,21.0,0.626,0.7897047572205544,0.7932946255501137,0.274
R_SE k=1.0 SE_MARGINAL,SE_MARGINAL,1.0,6,22,21.0,22.0,24.0,0.421,0.7897028787454877,0.79117052666887,0.378
R_SE k=1.5 SE_MARGINAL,SE_MARGINAL,1.5,5,23,21.0,23.0,24.0,0.635,0.7897620680590527,0.7906294702381249,0.4
R_SE k=2.0 SE_MARGINAL,SE_MARGINAL,2.0,1,23,23.0,24.0,24.0,0.157,0.7900509825957991,0.7900360400445258,0.513
R_SE k=3.0 SE_MARGINAL,SE_MARGINAL,3.0,0,24,24.0,24.0,24.0,0.5,0.7900802510800281,0.7900802510800281,0.5
R_SE k=0.25 SE_IID,SE_IID,0.25,47,10,8.0,9.0,11.0,0.627,0.7894706707062342,0.7978281747768077,0.056
R_SE k=0.5 SE_IID,SE_IID,0.5,39,12,10.0,12.0,14.0,0.443,0.78363862325348,0.7967264941362796,0.016
R_SE k=1.0 SE_IID,SE_IID,1.0,24,18,14.0,17.0,19.0,0.766,0.7897086570284159,0.793773210878838,0.258
R_SE k=1.5 SE_IID,SE_IID,1.5,13,21,18.0,20.0,22.0,0.727,0.7914434216072611,0.7923637851284335,0.43
R_SE k=2.0 SE_IID,SE_IID,2.0,8,21,20.0,22.0,23.0,0.309,0.7898707415343836,0.7911467420743117,0.396
R_SE k=3.0 SE_IID,SE_IID,3.0,2,24,23.0,23.0,24.0,0.77,0.7900076020418209,0.7904482707601436,0.408
