book,panel,label,claimed,pub_CAGR,full_CAGR,full_Sharpe,full_MaxDD,share_3y,n_3y,leg_sharpe,leg_halves,leg_dd,leg_cagr,memo
K4,U56,"u56 EW-all 200d-MA gate (band 0), M, g1.00",PASS/FAIL,0.1196,0.11921216196097117,1.2095309744401905,-0.15485495397691995,0.4431818181818182,176,0.9375,0.5454545454545454,0.8636363636363636,0.8125,2026-09-08_u56-ewall-magate-fullgross_KEEP_MEMO.md
K8,U56,"u56 EW-all, de-gross to ZERO on breadth<q0.17(10",PASS/FAIL,0.1413,0.14159352927982938,1.2225788453420765,-0.1479115582684295,0.4147727272727273,176,0.8295454545454546,0.5284090909090909,0.5909090909090909,0.9090909090909091,2026-09-10_does-the-BREADTH-gate-4b-pass-live-only-at-gross-1.00_cloud.memo.md
K5,U56,"u56 RULES v2 band 0.03, W, g1.00  [the standing ",PASS/FAIL,0.1159,0.11544485987825248,1.2016651077116542,-0.15910990262743974,0.3977272727272727,176,0.9147727272727273,0.5170454545454546,0.8636363636363636,0.7272727272727273,2026-09-08_u56-band3-fullgross_KEEP_MEMO.md
K3,U56,"u56 top20 DAILY + buffer m=50 (fixed g/n), D, g0",PASS/FAIL,0.1171,0.11783458915117473,1.1582316284744965,-0.1237392928843456,0.36363636363636365,176,0.8465909090909091,0.4659090909090909,0.5511363636363636,0.7215909090909091,2026-09-06_daily-plus-buffer30_PARK_MEMO.md
R1,U56,"u56 band 0.08, W, g1.00",PASS/FAIL,0.1137,0.11390601126292133,1.1460877446699917,-0.1905060857627321,0.32954545454545453,176,0.8522727272727273,0.5568181818181818,0.5795454545454546,0.6022727272727273,2026-09-11_u56-band008-gross100_4b_cloud_MEMO.md
R3,U56,"u56 MA-DISTANCE top-half, M, g0.75",PASS/FAIL,0.1547,0.15376905043373967,1.2260363003671622,-0.19975796950615476,0.29545454545454547,176,1.0,0.6647727272727273,0.5170454545454546,1.0,2026-09-11_4b-candidate-U56-MA-DISTANCE-TOP-HALF-monthly_memo.md
K6,U56,"u56 wide band b=0.12 EW respread, W, g0.75",PASS/FAIL,0.1402,0.13974222525739366,1.223289109519813,-0.19419373034827148,0.2784090909090909,176,0.9886363636363636,0.6875,0.3465909090909091,0.8806818181818182,2026-09-06_band12-ewall-rw_PARK_MEMO.md
R2,U56,"u56 MA-RESPREAD, W, g0.75",PASS/FAIL,0.1155,0.11508784364638625,1.087689994351135,-0.18647361198328027,0.17045454545454544,176,0.8806818181818182,0.5340909090909091,0.4602272727272727,0.7102272727272727,2026-09-11_u56-marsrespread-gross075_4b_C_MEMO.md
R4,B136,"b136 R6-top20 (de-gross), W, g0.65",PASS/FAIL,0.1499,0.14985888137427117,1.1264311898720905,-0.1943271934977503,0.13636363636363635,176,0.9261363636363636,0.3977272727272727,0.5284090909090909,0.9431818181818182,2026-09-12_b136-r620-gross065-W_4b_C_MEMO.md
K1,U56,"u56 top20 composite, W, g0.75",PASS/FAIL,0.1279,0.12778534248203832,1.0632204595128434,-0.1830834144627017,0.11363636363636363,176,0.8181818181818182,0.3522727272727273,0.2215909090909091,0.7784090909090909,2026-09-07_u56-top20-g075-4b_C_MEMO.md
K2,U56,"u56 top20 + rank buffer m=20, W, g0.75",PASS/FAIL,,0.1282413390173136,1.1168305185683665,-0.17244981000039827,0.10795454545454546,176,0.8409090909090909,0.4715909090909091,0.375,0.7840909090909091,2026-09-07_u56-top20-band-m20_4b_B_MEMO.md
K7,B136,"b136 scored-eligible EW, residual in SHY, W, g0.",FAIL/FAIL,0.0627,0.06220101729156324,1.1687108743038912,-0.11133286588851088,0.005681818181818182,176,0.9659090909090909,0.7386363636363636,1.0,0.005681818181818182,2026-09-07_b136-ewall-shy-residual
