PICK_SET,SUB_RULE,picks,folds,move_rate,mean_OOS_Sharpe,DELTA,SE,t
P_1214,S_NONE,42,14,0.0,0.9677438007570123,0.0,0.0,0.0
P_1214,S_ALL,42,14,1.0,1.036222045321123,0.06847824456411071,0.051421291128337585,1.3317099407948019
P_1214,S_SE1,42,14,0.9761904761904762,1.0386075059851176,0.07086370522810521,0.05137042211791518,1.379465114486413
P_1214,S_SE2,42,14,1.0,1.036222045321123,0.06847824456411071,0.051421291128337585,1.3317099407948019
P_1214,S_ANC95,42,14,1.0,1.036222045321123,0.06847824456411071,0.051421291128337585,1.3317099407948019
P_AXIS,S_NONE,168,14,0.0,1.0151199933755826,0.0,0.0,0.0
P_AXIS,S_ALL,168,14,0.5833333333333334,1.036222045321123,0.021102051945540466,0.028266307333525104,0.746544346827804
P_AXIS,S_SE1,168,14,0.5357142857142857,1.0436328501151995,0.028512856739617082,0.027319135401045917,1.0436954289016578
P_AXIS,S_SE2,168,14,0.5833333333333334,1.036222045321123,0.021102051945540466,0.028266307333525104,0.746544346827804
P_AXIS,S_ANC95,168,14,0.5595238095238095,1.0322108778341428,0.017090884458560256,0.027648225371233844,0.618154844626744
P_TEXT,S_NONE,620,10,0.0,1.015750980345753,0.0,0.0,0.0
P_TEXT,S_ALL,620,10,0.8064516129032258,1.0361288544736393,0.020377874127886293,0.010481450275346558,1.9441845920709213
P_TEXT,S_SE1,620,10,0.8064516129032258,1.0361288544736393,0.020377874127886293,0.010481450275346558,1.9441845920709213
P_TEXT,S_SE2,620,10,0.8064516129032258,1.0361288544736393,0.020377874127886293,0.010481450275346558,1.9441845920709213
P_TEXT,S_ANC95,620,10,0.8064516129032258,1.0361288544736393,0.020377874127886293,0.010481450275346558,1.9441845920709213
