panel,w,leg,days,live_days,dead_days,live_share,first_live
U56,252,FULL,4443,4442,1,0.9997749268512266,2009-01-14
U56,252,PRE,2007,2006,1,0.9995017438963627,2009-01-14
U56,252,POST,2436,2436,0,1.0,2009-01-14
U56,504,FULL,4443,4199,244,0.9450821516993023,2009-12-31
U56,504,PRE,2007,1763,244,0.8784255107125062,2009-12-31
U56,504,POST,2436,2436,0,1.0,2009-12-31
U56,756,FULL,4443,3947,496,0.8883637182084178,2010-12-31
U56,756,PRE,2007,1511,496,0.7528649725959143,2010-12-31
U56,756,POST,2436,2436,0,1.0,2010-12-31
U56,1008,FULL,4443,3695,748,0.8316452847175332,2011-12-30
U56,1008,PRE,2007,1259,748,0.6273044344793224,2011-12-30
U56,1008,POST,2436,2436,0,1.0,2011-12-30
U56,2016,FULL,4443,2687,1756,0.604771550753995,2016-01-05
U56,2016,PRE,2007,251,1756,0.12506228201295466,2016-01-05
U56,2016,POST,2436,2436,0,1.0,2016-01-05
B136,252,FULL,4443,4442,1,0.9997749268512266,2009-01-14
B136,252,PRE,2007,2006,1,0.9995017438963627,2009-01-14
B136,252,POST,2436,2436,0,1.0,2009-01-14
B136,504,FULL,4443,4199,244,0.9450821516993023,2009-12-31
B136,504,PRE,2007,1763,244,0.8784255107125062,2009-12-31
B136,504,POST,2436,2436,0,1.0,2009-12-31
B136,756,FULL,4443,3947,496,0.8883637182084178,2010-12-31
B136,756,PRE,2007,1511,496,0.7528649725959143,2010-12-31
B136,756,POST,2436,2436,0,1.0,2010-12-31
B136,1008,FULL,4443,3695,748,0.8316452847175332,2011-12-30
B136,1008,PRE,2007,1259,748,0.6273044344793224,2011-12-30
B136,1008,POST,2436,2436,0,1.0,2011-12-30
B136,2016,FULL,4443,2687,1756,0.604771550753995,2016-01-05
B136,2016,PRE,2007,251,1756,0.12506228201295466,2016-01-05
B136,2016,POST,2436,2436,0,1.0,2016-01-05
SMALL,252,FULL,3938,3937,1,0.999746063991874,2011-01-14
SMALL,252,PRE,1502,1501,1,0.9993342210386151,2011-01-14
SMALL,252,POST,2436,2436,0,1.0,2011-01-14
SMALL,504,FULL,3938,3694,244,0.9380396140172677,2012-01-03
SMALL,504,PRE,1502,1258,244,0.8375499334221038,2012-01-03
SMALL,504,POST,2436,2436,0,1.0,2012-01-03
SMALL,756,FULL,3938,3442,496,0.8740477399695277,2013-01-04
SMALL,756,PRE,1502,1006,496,0.6697736351531292,2013-01-04
SMALL,756,POST,2436,2436,0,1.0,2013-01-04
SMALL,1008,FULL,3938,3190,748,0.8100558659217877,2014-01-06
SMALL,1008,PRE,1502,754,748,0.5019973368841545,2014-01-06
SMALL,1008,POST,2436,2436,0,1.0,2014-01-06
SMALL,2016,FULL,3938,2182,1756,0.5540883697308279,2018-01-05
SMALL,2016,PRE,1502,0,1502,0.0,2018-01-05
SMALL,2016,POST,2436,2182,254,0.8957307060755336,2018-01-05
