panel,cost_bps,L_H1,L_H2,L_OOS,L_DD,L_CAGR,sharpe_family_share
U56,0.0,0,0,0,16,17,0.0
U56,2.0,0,0,0,16,17,0.0
U56,5.0,0,0,0,16,17,0.0
U56,7.5,0,0,0,16,17,0.0
U56,10.0,0,0,0,16,17,0.0
U56,15.0,0,0,0,16,17,0.0
U56,25.0,0,0,0,15,18,0.0
U56,50.0,1,0,0,14,18,0.030303030303030304
B136,0.0,0,5,0,14,14,0.15151515151515152
B136,2.0,0,5,0,14,14,0.15151515151515152
B136,5.0,0,5,0,14,14,0.15151515151515152
B136,7.5,0,5,0,14,14,0.15151515151515152
B136,10.0,0,6,0,13,14,0.18181818181818182
B136,15.0,0,6,0,13,14,0.18181818181818182
B136,25.0,0,6,0,13,14,0.18181818181818182
B136,50.0,0,8,0,11,14,0.24242424242424243
