panel,book,cut,stat,pre,post,D,k,n,p,sd,t,sign,claimset,sign_nat,p_nat,D_nat,reversed,both_sig,pathology
U56,BAND075,CALMID,SH,1.2269916349772012,1.1821856681276597,-0.04480596684954152,2226,4444,0.936,0.4771926879811042,-0.09389491494328124,-1,LIVE,-1,0.901,-0.05525063015931586,False,False,False
U56,BAND075,CALMID,EXSH,0.26973297402435203,0.35681349876364243,0.0870805247392904,2226,4444,0.7465,0.26928789509511164,0.3233733351012077,1,LIVE,1,0.773,0.07999359174252196,False,False,False
U56,BAND075,CALMID,CAGR,0.08298863395972335,0.08948735209085872,0.006498718131135367,2226,4444,0.8665,0.03413142780380399,0.1904027621842142,1,LIVE,1,0.8565,0.005563223321610605,False,False,False
U56,BAND075,CALMID,MaxDD,-0.0788718418803602,-0.12054947951644898,-0.04167763763608878,2226,4444,0.398,0.04639135898769037,-0.898392255487658,-1,LIVE,-1,0.392,-0.04167763763608878,False,False,False
U56,BAND075,2013-01-01,SH,0.8811951923692686,1.3028338415913594,0.4216386492220908,999,4444,0.4625,0.5645652157567047,0.7468378097948438,1,LIVE,-1,0.901,-0.05525063015931586,True,False,False
U56,BAND075,2013-01-01,EXSH,0.07032812086355489,0.3869358555833129,0.316607734719758,999,4444,0.3765,0.35834178063025346,0.8835356406470566,1,LIVE,1,0.773,0.07999359174252196,False,False,False
U56,BAND075,2013-01-01,CAGR,0.06560795774636356,0.0922808745259214,0.02667291677955784,999,4444,0.5455,0.04266142607462058,0.6252232809307245,1,LIVE,1,0.8565,0.005563223321610605,False,False,False
U56,BAND075,2013-01-01,MaxDD,-0.0788718418803602,-0.12054947951644887,-0.04167763763608867,999,4444,0.47,0.049493496238984865,-0.8420831180493605,-1,LIVE,-1,0.392,-0.04167763763608878,False,False,False
U56,BAND075,2014-01-01,SH,1.216190417200564,1.1956989798737523,-0.02049143732681169,1251,4444,0.963,0.52053108817465,-0.03936640441336397,-1,LIVE,-1,0.901,-0.05525063015931586,False,False,False
U56,BAND075,2014-01-01,EXSH,0.21450849389011006,0.3605862797519881,0.14607778586187803,1251,4444,0.6665,0.3267475067786789,0.44706626012856837,1,LIVE,1,0.773,0.07999359174252196,False,False,False
U56,BAND075,2014-01-01,CAGR,0.09031674777643162,0.08462923894810591,-0.0056875088283257075,1251,4444,0.873,0.03879973356867522,-0.14658628565731932,-1,LIVE,1,0.8565,0.005563223321610605,True,False,False
U56,BAND075,2014-01-01,MaxDD,-0.0788718418803602,-0.12054947951644901,-0.04167763763608881,1251,4444,0.3855,0.045156760307700224,-0.9229545554662355,-1,LIVE,-1,0.392,-0.04167763763608878,False,False,False
U56,BAND075,2015-01-01,SH,1.1794246141800167,1.2128665521384296,0.03344193795841299,1503,4444,0.9515,0.5023021152956525,0.0665773384982248,1,LIVE,-1,0.901,-0.05525063015931586,True,False,False
U56,BAND075,2015-01-01,EXSH,0.17235280109026996,0.39236183959180415,0.2200090385015342,1503,4444,0.469,0.30163474594387285,0.7293889097991142,1,LIVE,1,0.773,0.07999359174252196,False,False,False
U56,BAND075,2015-01-01,CAGR,0.08548109895618204,0.0866088197298894,0.0011277207737073608,1503,4444,0.9795,0.03657087884249698,0.030836578430729403,1,LIVE,1,0.8565,0.005563223321610605,False,False,False
U56,BAND075,2015-01-01,MaxDD,-0.0788718418803602,-0.12054947951644901,-0.04167763763608881,1503,4444,0.4045,0.04538594606238381,-0.9182939048753581,-1,LIVE,-1,0.392,-0.04167763763608878,False,False,False
U56,BAND075,2016-01-01,SH,1.1082365552626048,1.261086322697005,0.15284976743440026,1755,4444,0.752,0.47518456786073393,0.3216639970496625,1,LIVE,-1,0.901,-0.05525063015931586,True,False,False
U56,BAND075,2016-01-01,EXSH,0.20916782958422642,0.38587806880007425,0.17671023921584783,1755,4444,0.5225,0.28389395112708077,0.6224515827628402,1,LIVE,1,0.773,0.07999359174252196,False,False,False
U56,BAND075,2016-01-01,CAGR,0.07808760211069597,0.09157283451347303,0.013485232402777061,1755,4444,0.6845,0.03383043893416145,0.3986123984090518,1,LIVE,1,0.8565,0.005563223321610605,False,False,False
U56,BAND075,2016-01-01,MaxDD,-0.0788718418803602,-0.12054947951644901,-0.04167763763608881,1755,4444,0.4475,0.04594133766770526,-0.9071925144527596,-1,LIVE,-1,0.392,-0.04167763763608878,False,False,False
U56,BAND075,2017-01-01,SH,1.1045467696915068,1.2774465281362168,0.17289975844471006,2007,4444,0.7255,0.46675167180641625,0.3704320067575884,1,LIVE,-1,0.901,-0.05525063015931586,True,False,False
U56,BAND075,2017-01-01,EXSH,0.20568413590473256,0.40330960151894857,0.197625465614216,2007,4444,0.4535,0.2762671359802914,0.7153419277069365,1,LIVE,1,0.773,0.07999359174252196,False,False,False
U56,BAND075,2017-01-01,CAGR,0.07609485171306553,0.09464348447629667,0.01854863276323114,2007,4444,0.5825,0.0331845714384501,0.5589535124066518,1,LIVE,1,0.8565,0.005563223321610605,False,False,False
U56,BAND075,2017-01-01,MaxDD,-0.0788718418803602,-0.12054947951644898,-0.04167763763608878,2007,4444,0.4325,0.046387616845472185,-0.8984647298206022,-1,LIVE,-1,0.392,-0.04167763763608878,False,False,False
U56,BAND075,2018-01-01,SH,1.237247474503898,1.1730435691888832,-0.06420390531501474,2258,4444,0.896,0.46433773077725077,-0.1382698433908104,-1,LIVE,-1,0.901,-0.05525063015931586,False,False,False
U56,BAND075,2018-01-01,EXSH,0.26198921299499944,0.36387302296904467,0.10188380997404523,2258,4444,0.7025,0.2669741349031713,0.3816242723700459,1,LIVE,1,0.773,0.07999359174252196,False,False,False
U56,BAND075,2018-01-01,CAGR,0.08336610654508057,0.08919063283701853,0.0058245262919379565,2258,4444,0.87,0.033143776481669836,0.17573514276984128,1,LIVE,1,0.8565,0.005563223321610605,False,False,False
U56,BAND075,2018-01-01,MaxDD,-0.0788718418803602,-0.12054947951644897,-0.04167763763608877,2258,4444,0.3775,0.04589074841522694,-0.9081925894732146,-1,LIVE,-1,0.392,-0.04167763763608878,False,False,False
U56,BAND075,2019-01-01,SH,1.105361156166743,1.317409314959136,0.21204815879239303,2509,4444,0.679,0.49767513519438694,0.42607746257921675,1,LIVE,-1,0.901,-0.05525063015931586,True,False,False
U56,BAND075,2019-01-01,EXSH,0.25137230351819306,0.39292694213111146,0.1415546386129184,2509,4444,0.6155,0.2714976469741673,0.521384403108242,1,LIVE,1,0.773,0.07999359174252196,False,False,False
U56,BAND075,2019-01-01,CAGR,0.07526044698877221,0.10061404435980889,0.02535359737103668,2509,4444,0.488,0.0354808845853194,0.7145706108332768,1,LIVE,1,0.8565,0.005563223321610605,False,False,False
U56,BAND075,2019-01-01,MaxDD,-0.0788718418803602,-0.12054947951644897,-0.04167763763608877,2509,4444,0.5085,0.0480184205679639,-0.8679510309402916,-1,LIVE,-1,0.392,-0.04167763763608878,False,False,False
U56,BAND075,2020-01-01,SH,1.1466772583105003,1.2867897128917818,0.14011245458128152,2761,4444,0.785,0.5022372671338913,0.27897661872218055,1,LIVE,-1,0.901,-0.05525063015931586,True,False,False
U56,BAND075,2020-01-01,EXSH,0.1966765253263545,0.4756093901213645,0.27893286479501,2761,4444,0.318,0.2666006609905278,1.0462572139118602,1,LIVE,1,0.773,0.07999359174252196,False,False,False
U56,BAND075,2020-01-01,CAGR,0.07693970296189938,0.10163757382575758,0.024697870863858204,2761,4444,0.4955,0.03720350075291714,0.6638587865127621,1,LIVE,1,0.8565,0.005563223321610605,False,False,False
