panel,family,form,window,trim,end,rho,gap,full_rho,full_gap,d1_share,sign_survives,mag_ratio
B136,momQ,MA-DG,FULL,0,LOW,0.7575757575757575,0.4589443530773111,0.7575757575757575,0.4589443530773111,,True,1.0
B136,momQ,MA-DG,FULL,1,LOW,0.8499999999999999,0.5420431481809946,0.7575757575757575,0.4589443530773111,-0.18106507803503846,True,1.122
B136,momQ,MA-DG,FULL,1,HIGH,0.6666666666666667,0.08492400745982709,0.7575757575757575,0.4589443530773111,,True,0.8800000000000002
B136,momQ,MA-DG,FULL,2,LOW,0.9523809523809524,0.9518021114720795,0.7575757575757575,0.4589443530773111,,True,1.2571428571428573
B136,momQ,MA-DG,FULL,2,HIGH,0.5476190476190477,0.12446629658240904,0.7575757575757575,0.4589443530773111,,True,0.7228571428571431
B136,momQ,MA-DG,IS,0,LOW,0.5151515151515151,0.6365846735389649,0.5151515151515151,0.6365846735389649,,True,1.0
B136,momQ,MA-DG,IS,1,LOW,0.75,0.7278036552632432,0.5151515151515151,0.6365846735389649,-0.14329434168932265,True,1.4558823529411764
B136,momQ,MA-DG,IS,1,HIGH,0.33333333333333337,-0.06186538149546916,0.5151515151515151,0.6365846735389649,,True,0.6470588235294119
B136,momQ,MA-DG,IS,2,LOW,0.6666666666666669,0.9210890861851595,0.5151515151515151,0.6365846735389649,,True,1.2941176470588238
B136,momQ,MA-DG,IS,2,HIGH,0.4761904761904762,0.300240006555465,0.5151515151515151,0.6365846735389649,,True,0.9243697478991597
B136,momQ,MA-DG,OOS,0,LOW,0.5878787878787878,0.3462606274074036,0.5878787878787878,0.3462606274074036,,True,1.0
B136,momQ,MA-DG,OOS,1,LOW,0.7999999999999999,0.41431245358693025,0.5878787878787878,0.3462606274074036,-0.19653353801458406,True,1.3608247422680413
B136,momQ,MA-DG,OOS,1,HIGH,0.43333333333333335,0.18696954744717065,0.5878787878787878,0.3462606274074036,,True,0.7371134020618558
B136,momQ,MA-DG,OOS,2,LOW,0.880952380952381,1.0319415633397182,0.5878787878787878,0.3462606274074036,,True,1.4985272459499268
B136,momQ,MA-DG,OOS,2,HIGH,0.19047619047619052,-0.022801167872491868,0.5878787878787878,0.3462606274074036,,True,0.3240058910162004
B136,momQ,MA-RS,FULL,0,LOW,0.4424242424242424,0.35503100410682,0.4424242424242424,0.35503100410682,,True,1.0
B136,momQ,MA-RS,FULL,1,LOW,0.8333333333333333,0.5788011517686684,0.4424242424242424,0.35503100410682,-0.6302833979945075,True,1.8835616438356164
B136,momQ,MA-RS,FULL,1,HIGH,0.2333333333333333,-0.054260797945571815,0.4424242424242424,0.35503100410682,,True,0.5273972602739726
B136,momQ,MA-RS,FULL,2,LOW,0.880952380952381,0.9257616214012365,0.4424242424242424,0.35503100410682,,True,1.9911937377690807
B136,momQ,MA-RS,FULL,2,HIGH,0.09523809523809526,-0.06745045842829867,0.4424242424242424,0.35503100410682,,True,0.21526418786692766
B136,momQ,MA-RS,IS,0,LOW,0.28484848484848485,0.5355424515396692,0.28484848484848485,0.5355424515396692,,True,1.0
B136,momQ,MA-RS,IS,1,LOW,0.5,0.6951353602631583,0.28484848484848485,0.5355424515396692,-0.29800234932760983,True,1.7553191489361701
B136,momQ,MA-RS,IS,1,HIGH,0.016666666666666666,-0.2036921770034198,0.28484848484848485,0.5355424515396692,,True,0.05851063829787234
B136,momQ,MA-RS,IS,2,LOW,0.6428571428571429,0.9081956183223899,0.28484848484848485,0.5355424515396692,,True,2.256838905775076
B136,momQ,MA-RS,IS,2,HIGH,0.14285714285714288,0.08132530100362356,0.28484848484848485,0.5355424515396692,,True,0.5015197568389058
B136,momQ,MA-RS,OOS,0,LOW,0.4666666666666666,0.25947878536847513,0.4666666666666666,0.25947878536847513,,True,1.0
B136,momQ,MA-RS,OOS,1,LOW,0.7333333333333334,0.5372666792072187,0.4666666666666666,0.25947878536847513,-1.070561099799617,True,1.5714285714285716
B136,momQ,MA-RS,OOS,1,HIGH,0.26666666666666666,0.06328518345162826,0.4666666666666666,0.25947878536847513,,True,0.5714285714285715
B136,momQ,MA-RS,OOS,2,LOW,0.7380952380952381,1.015278612520543,0.4666666666666666,0.25947878536847513,,True,1.5816326530612248
B136,momQ,MA-RS,OOS,2,HIGH,-0.04761904761904763,-0.17771255172438338,0.4666666666666666,0.25947878536847513,,False,0.10204081632653064
B136,volQ,MA-DG,FULL,0,LOW,0.4424242424242424,0.19999579388965405,0.4424242424242424,0.19999579388965405,,True,1.0
B136,volQ,MA-DG,FULL,1,LOW,0.5833333333333334,0.41745058194704093,0.4424242424242424,0.19999579388965405,-1.087296806738674,True,1.3184931506849318
B136,volQ,MA-DG,FULL,1,HIGH,0.2333333333333333,0.09751913656772282,0.4424242424242424,0.19999579388965405,,True,0.5273972602739726
B136,volQ,MA-DG,FULL,2,LOW,0.7619047619047621,0.42449163750729596,0.4424242424242424,0.19999579388965405,,True,1.7221135029354213
B136,volQ,MA-DG,FULL,2,HIGH,-0.09523809523809526,0.08416920674713546,0.4424242424242424,0.19999579388965405,,False,0.21526418786692766
B136,volQ,MA-DG,IS,0,LOW,0.13939393939393938,-0.14164105389194293,0.13939393939393938,-0.14164105389194293,,True,1.0
B136,volQ,MA-DG,IS,1,LOW,0.5666666666666667,0.05354216608219464,0.13939393939393938,-0.14164105389194293,1.3780130450246553,True,4.065217391304349
B136,volQ,MA-DG,IS,1,HIGH,-0.016666666666666666,-0.13150955279021792,0.13939393939393938,-0.14164105389194293,,False,0.11956521739130437
B136,volQ,MA-DG,IS,2,LOW,0.7380952380952381,0.15381037902289063,0.13939393939393938,-0.14164105389194293,,True,5.295031055900622
B136,volQ,MA-DG,IS,2,HIGH,-0.261904761904762,-0.1745218823982969,0.13939393939393938,-0.14164105389194293,,False,1.8788819875776406
B136,volQ,MA-DG,OOS,0,LOW,0.6484848484848483,0.450404730642045,0.6484848484848483,0.450404730642045,,True,1.0
B136,volQ,MA-DG,OOS,1,LOW,0.8666666666666667,0.6978153019671663,0.6484848484848483,0.450404730642045,-0.5493072219122597,True,1.3364485981308414
B136,volQ,MA-DG,OOS,1,HIGH,0.5166666666666667,0.2655688655442968,0.6484848484848483,0.450404730642045,,True,0.796728971962617
B136,volQ,MA-DG,OOS,2,LOW,0.8095238095238096,0.6418068535902308,0.6484848484848483,0.450404730642045,,True,1.2483311081441928
B136,volQ,MA-DG,OOS,2,HIGH,0.3333333333333334,0.278318846523417,0.6484848484848483,0.450404730642045,,True,0.5140186915887853
B136,volQ,MA-RS,FULL,0,LOW,0.5151515151515151,0.3579224737484177,0.5151515151515151,0.3579224737484177,,True,1.0
B136,volQ,MA-RS,FULL,1,LOW,0.6833333333333333,0.43026747799168724,0.5151515151515151,0.3579224737484177,-0.2021247883253081,True,1.3264705882352943
B136,volQ,MA-RS,FULL,1,HIGH,0.33333333333333337,0.28929924797649276,0.5151515151515151,0.3579224737484177,,True,0.6470588235294119
B136,volQ,MA-RS,FULL,2,LOW,0.7619047619047621,0.40949275843810995,0.5151515151515151,0.3579224737484177,,True,1.4789915966386558
B136,volQ,MA-RS,FULL,2,HIGH,0.04761904761904763,0.14745260546261318,0.5151515151515151,0.3579224737484177,,True,0.09243697478991598
B136,volQ,MA-RS,IS,0,LOW,-0.11515151515151514,-0.11192100882922285,-0.11515151515151514,-0.11192100882922285,,True,1.0
B136,volQ,MA-RS,IS,1,LOW,0.08333333333333334,-0.017916084306768165,-0.11515151515151514,-0.11192100882922285,0.8399220620490848,False,0.7236842105263159
