panel,L,d,t,dSharpe,dMaxDD
U56,5,0,0.08,0.23721296991337715,0.09907051162016989
U56,5,0,0.1,0.20745012806048502,0.09966145938052207
U56,5,0,0.12,0.17551659860658608,0.09316466477072272
U56,5,0,0.16,0.1511224789374106,0.07529014821672586
U56,5,0,0.2,0.13909484834998564,0.07663873425540435
U56,5,1,0.08,0.03148502402369524,0.08315290557587007
U56,5,1,0.1,0.07066483542561852,0.08150474828165244
U56,5,1,0.12,0.0940509078404792,0.073311481269283
U56,5,1,0.16,0.09284720286935966,0.05046923747998533
U56,5,1,0.2,0.10125365675429454,0.050266449706461436
U56,5,2,0.08,-0.09717389600648962,0.03642194540235155
U56,5,2,0.1,-0.030425867586042044,0.028124251085342777
U56,5,2,0.12,0.02179277170581484,0.0289879023529237
U56,5,2,0.16,0.07001342642141806,0.0323302251651959
U56,5,2,0.2,0.08725303390245731,0.05181605811743273
U56,5,5,0.08,-0.10182928845171912,0.07160529826485695
U56,5,5,0.1,-0.019207518200336615,0.08205224799441335
U56,5,5,0.12,0.03844030725128911,0.08627108559511198
U56,5,5,0.16,0.053331979786993555,0.07723259274025218
U56,5,5,0.2,0.04195217020356079,0.06750872702612876
U56,10,0,0.08,0.08954739878941531,0.08944254203182833
U56,10,0,0.1,0.1412795733595904,0.09766088029900066
U56,10,0,0.12,0.16700967097942332,0.09942211098062159
U56,10,0,0.16,0.14601538721242213,0.09140585538325063
U56,10,0,0.2,0.11884872213672848,0.08498965256774427
U56,10,1,0.08,0.03245461255261728,0.07998299502558259
U56,10,1,0.1,0.10709291298289836,0.09470310736072218
U56,10,1,0.12,0.1473935544820002,0.09170153524593516
U56,10,1,0.16,0.12283557774146536,0.07750192215045237
U56,10,1,0.2,0.10181482737209513,0.07739940013279367
U56,10,2,0.08,-0.011464927023077998,0.07646373794386008
U56,10,2,0.1,0.06142218713749226,0.0784848264752529
U56,10,2,0.12,0.10715144715564406,0.07363993319489603
U56,10,2,0.16,0.10858204257137727,0.06869703732922294
U56,10,2,0.2,0.08666500886341888,0.07018952652029475
U56,10,5,0.08,0.06112042254606331,0.08222726184259166
U56,10,5,0.1,0.0909491203056858,0.08578038987548575
U56,10,5,0.12,0.08064296361689394,0.08081552643248224
U56,10,5,0.16,0.045397223536475684,0.06447469619966806
U56,10,5,0.2,0.0076261056638347036,0.06192786334790179
U56,20,0,0.08,0.17306032774099656,0.08764312618564263
U56,20,0,0.1,0.1654045249324969,0.09194221472098507
U56,20,0,0.12,0.14612435534229218,0.0913110649405382
U56,20,0,0.16,0.09300371243057048,0.07595673258432933
U56,20,0,0.2,0.07015492264981948,0.07541492218376777
U56,20,1,0.08,0.11839545714000277,0.0799977626850269
U56,20,1,0.1,0.12962220847117734,0.08710277208411743
U56,20,1,0.12,0.1253431929069948,0.08618412574395151
U56,20,1,0.16,0.07459334875258428,0.06643491834466841
U56,20,1,0.2,0.05993534604652995,0.07189771130818201
U56,20,2,0.08,0.11426220803645415,0.08105939273826057
U56,20,2,0.1,0.11480412111901739,0.08863389902436691
U56,20,2,0.12,0.11259090642481762,0.08474378356177381
U56,20,2,0.16,0.06534494582495243,0.06827794427788925
U56,20,2,0.2,0.03473030860251014,0.06935665859685036
U56,20,5,0.08,0.08011977252247937,0.07586945687450597
