panel,N,seeds,EDGE_pp,EDGE_IS_pp,book_CAGR,null_CAGR_med,null_CAGR_sd,EDGE_se_pp,lam_median,book_pct_of_null
U56,5,5,6.115233255618713,6.6220037098128515,0.17827666701103606,0.11712433445484893,0.012215254377869392,0.6846562119681868,1.0,1.0
U56,5,10,6.43357118994844,7.255677983016673,0.17827666701103606,0.11394095511155167,0.01897208471314452,0.7519173306786082,1.0,1.0
U56,5,20,5.676144894807411,7.212733730870646,0.17827666701103606,0.12151521806296195,0.01907016436799344,0.5344344904292702,1.0,1.0
U56,5,40,5.95038816304212,7.4536608297699924,0.17827666701103606,0.11877278538061486,0.019320741897459578,0.3828678000842714,1.0,1.0
U56,8,5,3.974437268454256,1.662503496967127,0.16835370055023535,0.1286093278656928,0.030319006070879465,1.6993584582844734,0.9088336038892011,1.0
U56,8,10,3.8978723362459555,2.132472225114701,0.16835370055023535,0.1293749771877758,0.02667455539352141,1.057188010268532,0.9227033993712099,1.0
U56,8,20,5.020345234000967,2.2368556665366413,0.16835370055023535,0.11815024821022568,0.02518550809712017,0.705814796681951,0.9166087579151468,0.95
U56,8,40,5.350912897081484,2.651620685800149,0.16835370055023535,0.11484457157942052,0.024164870478030055,0.47886105245581856,0.8991794943653716,0.975
U56,10,5,5.562333480524728,4.1941496849032145,0.17124124583736267,0.11561791103211538,0.020040083267765598,1.1232322367754577,0.9244438977840446,1.0
U56,10,10,5.78733793411037,4.308358490330311,0.17124124583736267,0.11336786649625896,0.02358666314989921,0.9348061145331134,0.908687522857808,1.0
U56,10,20,6.107455446857646,4.345031384189857,0.17124124583736267,0.11016669136878621,0.02172001571975268,0.6086956205151549,0.9271394620864654,1.0
U56,10,40,6.205435076551991,4.496375169259792,0.17124124583736267,0.10918689507184276,0.02098987074192648,0.4159439465454107,0.9056605849816639,1.0
U56,12,5,7.382723218226972,3.891803599571775,0.17705025292752952,0.1032230207452598,0.02848648376234428,1.5966469024463925,0.8382415463682233,1.0
U56,12,10,6.038806408835895,4.1297916173400395,0.17705025292752952,0.11666218883917057,0.02028312540544618,0.8038775782039372,0.9276349381347594,1.0
U56,12,20,6.130269773706809,3.7071288454803786,0.17705025292752952,0.11574755519046143,0.018161986627735324,0.5089831362370294,0.9201952633858456,1.0
U56,12,40,6.820183166175642,3.8208633609819187,0.17705025292752952,0.1088484212657731,0.016737990860817332,0.33168693897589907,0.9127516447929405,1.0
U56,15,5,4.612632135855721,2.2020866608736034,0.16995945257623468,0.12383313121767747,0.006740523163229559,0.3778014696101251,1.0,1.0
U56,15,10,5.087690985986448,3.0558550786782046,0.16995945257623468,0.1190825427163702,0.009290246132697555,0.36819870768368507,0.9356196697700477,1.0
U56,15,20,5.120778724646002,3.7172088454677565,0.16995945257623468,0.11875166532977466,0.010035429399836236,0.28123929579452905,0.9356196697700477,1.0
U56,15,40,5.215201883046006,2.886801204570888,0.16995945257623468,0.11780743374577463,0.012839378789778066,0.25443043221530454,0.9307666425533708,1.0
