repair,within_scope,cells,med_LSENS,p90_LSENS,flip_rate,med_LSENS_within,med_LSENS_between
P_RAW,W_LADDER,216,2.084138614278557,6.274060681283798,0.17592592592592593,1.5967828647678388,2.281166298741991
P_RAW,W_FIX3,216,2.281166298741991,7.690110765632186,0.30092592592592593,1.0,2.281166298741991
P_FREEZE,W_LADDER,216,1.0,1.0,0.0,1.0,1.0
P_FREEZE,W_FIX3,216,1.0,1.0,0.0,1.0,1.0
P_CMATCH,W_LADDER,216,1.8611568929021236,3.133486689128843,0.05555555555555555,1.5967828647678388,1.7076325381126725
P_CMATCH,W_FIX3,216,1.7076325381126725,2.860082584069688,0.125,1.0,1.7076325381126725
P_CMNORM,W_LADDER,216,2.01735997550965,4.036715828431744,0.05092592592592592,1.5967828647678388,1.5533154388969652
P_CMNORM,W_FIX3,216,1.553315438896965,2.501454409563663,0.1111111111111111,1.0,1.5533154388969652
P_ELAST,W_LADDER,216,1.9801242481576784,18.125445912615298,0.037037037037037035,1.5967828647678388,1.855768462300738
P_ELAST,W_FIX3,216,1.855768462300738,9.045651835103946,0.08333333333333333,1.0,1.855768462300738
