lag,n_all,n_challenged,never_named_beyond,share_never,rho_overturn_all,rho_overturn_named,overturn_rate_named
1,710,142,568,0.8,0.2890254218635048,0.2696454865584266,0.39436619718309857
2,710,96,614,0.8647887323943662,0.3058508220872228,0.31903609515912346,0.3854166666666667
3,710,45,665,0.9366197183098591,0.19761984585167014,0.27189917621809767,0.4222222222222222
FWD,710,178,532,0.7492957746478873,0.608138883798913,0.43643857862116237,0.37640449438202245
