book,cites,cites_lb,memo,n_gross_in_memo,g_in_memo,swept
K1,12,3,2026-09-07_u56-top20-g075-4b_C_MEMO.md,1,[0.75],False
K2,12,1,2026-09-07_u56-top20-band-m20_4b_B_MEMO.md,1,[0.75],False
K3,2,0,2026-09-06_daily-plus-buffer30_PARK_MEMO.md,1,[0.75],False
K4,13,4,2026-09-08_u56-ewall-magate-fullgross_KEEP_MEMO.md,1,[1.0],False
K5,2,0,2026-09-08_u56-band3-fullgross_KEEP_MEMO.md,3,"[0.5, 0.75, 1.0]",True
K6,25,4,2026-09-06_band12-ewall-rw_PARK_MEMO.md,1,[0.75],False
K7,4,1,2026-09-07_b136-shy-residual-ewall-g0375_4a_cloud_MEMO.md,1,[0.375],False
K8,2,0,2026-09-10_does-the-BREADTH-gate-4b-pass-live-only-at-gross-1.00_cloud.memo.md,17,"[0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0]",True
LIVE,5574,1485,,0,[],False
V1,2546,364,,0,[],False
