panel,book,cadence,cost_bps,floor,admitted_IS,abstained,pick,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,oos_floor,oos_4b,oos_4b_incumbent_floor
U56,RULESV2,W,0,F_SPY70,0,True,1.0,0.1293747247195809,1.3004188149455909,-0.15878994540852176,0.15286966214114894,0.8750760816641813,-0.33717256724185307,0.10700876349880425,True,True
U56,RULESV2,W,0,F_BETA,4,False,1.0,0.1293747247195809,1.3004188149455909,-0.15878994540852176,0.15286966214114894,0.8750760816641813,-0.33717256724185307,0.043665956130819014,True,True
U56,RULESV2,W,0,F_GROSS,4,False,1.0,0.1293747247195809,1.3004188149455909,-0.15878994540852176,0.15286966214114894,0.8750760816641813,-0.33717256724185307,0.07528650187111971,True,True
U56,RULESV2,W,0,F_NONE,4,False,1.0,0.1293747247195809,1.3004188149455909,-0.15878994540852176,0.15286966214114894,0.8750760816641813,-0.33717256724185307,-inf,True,True
U56,RULESV2,W,10,F_SPY70,0,True,1.0,0.12670148748914545,1.2760185412281244,-0.15910987917823627,0.15286966214114894,0.8750760816641813,-0.33717256724185307,0.10700876349880425,True,True
U56,RULESV2,W,10,F_BETA,4,False,1.0,0.12670148748914545,1.2760185412281244,-0.15910987917823627,0.15286966214114894,0.8750760816641813,-0.33717256724185307,0.043676707320016356,True,True
U56,RULESV2,W,10,F_GROSS,4,False,1.0,0.12670148748914545,1.2760185412281244,-0.15910987917823627,0.15286966214114894,0.8750760816641813,-0.33717256724185307,0.07528650187111971,True,True
U56,RULESV2,W,10,F_NONE,4,False,1.0,0.12670148748914545,1.2760185412281244,-0.15910987917823627,0.15286966214114894,0.8750760816641813,-0.33717256724185307,-inf,True,True
U56,RULESV2,W,25,F_SPY70,0,True,1.0,0.12270310220667491,1.2393793945502616,-0.15958968117256078,0.15286966214114894,0.8750760816641813,-0.33717256724185307,0.10700876349880425,True,True
U56,RULESV2,W,25,F_BETA,4,False,1.0,0.12270310220667491,1.2393793945502616,-0.15958968117256078,0.15286966214114894,0.8750760816641813,-0.33717256724185307,0.04369283410381243,True,True
