panel,family,book,kind,n,g_IS_margin,IS_margin_max,IS_flat,g_OOS_margin,OOS_margin_max,OOS_flat,g_full_margin,full_margin_max,g_IS_Sharpe,g_OOS_Sharpe,OOS_Sharpe_spread,OOS_binding_bar,n_OOS_pass,n_IS_pass,n_full_pass4b,n_pass4a,OOS_pass_lo,OOS_pass_hi
U56,whole,RANKED5,RANKED,5.0,0.5,-0.18555223567647258,False,0.6,0.12023710004761945,False,0.7,-0.06058389318318768,1.0,1.0,0.012417984541814642,H1,2,0,0,3,0.5,0.6
U56,whole,RANKED10,RANKED,10.0,0.6,-0.3418070108538046,False,0.8,0.052911188641924393,False,0.9,-0.039973049334721636,1.0,1.0,0.006317889386923459,H1,4,0,0,4,0.6,0.8
U56,whole,RANKED20,RANKED,20.0,0.7,-0.09792035639380975,False,0.7,0.15233552449220353,False,0.7,0.10812595082860506,0.8,1.0,0.0018221839182994692,DD,4,0,3,4,0.6,0.8
U56,whole,RANKED40,RANKED,40.0,1.0,-0.07645614418883617,False,0.9,0.17779859498876258,False,0.9,0.09248010540355261,1.0,0.2,0.001167420084048354,DD,4,0,2,6,0.75,1.0
U56,whole,EWALL,EWALL,,0.9,-0.009689153613046342,False,0.8,0.11786666562143558,False,0.9,0.06599292352762694,1.0,0.8,0.0002457251555070261,CAGR,3,0,2,5,0.75,0.9
U56,sub,SUB00,RANKED,20.0,0.7,-0.2413926195205971,False,0.7,0.17183973640250996,False,0.75,0.10989249371427337,0.5,0.7,0.0004104273637151046,DD,4,0,3,4,0.6,0.8
U56,sub,SUB01,RANKED,20.0,0.8,-0.08619867699426437,False,0.75,0.16988805457027958,False,0.8,0.08121106558242921,0.8,0.3,0.0008292537509826392,DD,4,0,3,5,0.7,0.9
U56,sub,SUB02,RANKED,20.0,0.7,-0.36984004516725166,False,0.75,0.25349879458010305,False,0.8,-0.07354096866506346,0.7,1.0,0.0011900151043742202,CAGR,5,0,0,6,0.7,1.0
U56,sub,SUB03,RANKED,20.0,0.6,-0.4444377987243495,False,0.75,0.1754438726504687,False,0.9,-0.041588650015914254,1.0,1.0,0.0012033195595713142,CAGR,4,0,0,5,0.7,0.9
U56,sub,SUB04,RANKED,20.0,0.75,-0.10732162414091306,False,0.75,0.23951500554985347,False,0.8,0.18492039482584272,0.8,1.0,0.0012586902373667996,CAGR,5,0,5,5,0.7,1.0
U56,sub,SUB05,RANKED,20.0,0.75,-0.20553120566154728,False,0.75,0.13121964281696688,False,0.8,-0.008454276095566439,0.9,0.7,0.0004080890612347954,DD,3,0,0,4,0.7,0.8
U56,sub,SUB06,RANKED,20.0,0.8,-0.02042397060029656,False,0.75,0.11958468562415056,False,0.8,0.06863692470118446,0.8,0.6,0.0003934897546074012,CAGR,3,0,2,4,0.7,0.8
U56,sub,SUB07,RANKED,20.0,0.8,-0.05103608617181983,False,0.8,0.16604845594130216,False,0.8,0.11456463056866416,0.5,0.8,0.000654278496684535,DD,4,0,3,5,0.7,0.9
U56,sub,SUB08,RANKED,20.0,0.7,-0.1956534593914416,False,0.75,0.16115141248807666,False,0.8,0.08333104249337456,0.5,0.75,0.0005338893214661411,DD,4,0,3,5,0.7,0.9
U56,sub,SUB09,RANKED,20.0,0.75,-0.4353743567908801,False,0.8,0.23371222738474295,False,1.0,-0.18086672058537093,1.0,0.2,0.0012232859735650248,DD,5,0,0,6,0.7,1.0
U56,sub,SUB10,RANKED,20.0,0.75,-0.07319688856066218,False,0.7,0.20532416839423565,False,0.75,0.15125455931316123,0.8,1.0,0.0012152204892659224,DD,4,0,3,4,0.6,0.8
U56,sub,SUB11,RANKED,20.0,0.75,0.05519084558464006,False,0.75,0.10492640774008721,False,0.75,0.10492640774008716,0.2,0.6,0.00035748744181440806,DD,3,2,3,4,0.7,0.8
B136,whole,RANKED5,RANKED,5.0,0.4,-0.11202626574981897,False,0.8,-0.23057202982310776,False,0.6,-0.08203575022572616,1.0,1.0,0.022477146217911637,H1,0,0,0,5,,
B136,whole,RANKED10,RANKED,10.0,0.5,0.011840205567661116,False,0.8,-0.2239894158711222,False,0.8,-0.14366683092074486,1.0,1.0,0.014793771264275057,H1,0,1,0,6,,
B136,whole,RANKED20,RANKED,20.0,0.6,0.046828429902281636,False,0.8,-0.06691189788906005,False,0.75,-0.027253834184706175,1.0,1.0,0.00648508541015802,H1,0,2,0,7,,
B136,whole,RANKED40,RANKED,40.0,0.75,0.01151448314218881,False,0.75,0.05517660396544434,False,0.75,0.05517660396544434,1.0,0.6,0.0003602145909061827,DD,2,2,2,8,0.7,0.75
B136,whole,EWALL,EWALL,,0.8,0.06588978350871331,False,0.8,0.04359385911122214,False,0.8,0.07126311233789866,1.0,0.2,0.0031077591446528885,CAGR,1,2,2,9,0.8,0.8
B136,sub,SUB00,RANKED,20.0,0.9,-0.2590112414979504,False,1.0,-0.22671226737439315,False,0.9,-0.07043265586489542,1.0,0.5,0.00045444700314656306,H2,0,0,0,8,,
B136,sub,SUB01,RANKED,20.0,0.9,-0.1420551136594795,False,0.8,-0.11453647126429004,False,0.9,-0.07749970405122905,1.0,0.2,0.005958688869550088,H2,0,0,0,8,,
B136,sub,SUB02,RANKED,20.0,0.8,-0.4063436014968079,False,0.9,-0.16934492709204013,False,1.0,-0.22604875570993374,1.0,0.2,0.0059081474522576505,H2,0,0,0,0,,
B136,sub,SUB03,RANKED,20.0,0.9,-0.13080507057843985,False,0.75,0.11963857345626955,False,0.75,0.07484800937087971,1.0,0.6,0.00031909690497555765,DD,3,0,3,9,0.7,0.8
B136,sub,SUB04,RANKED,20.0,0.8,-0.040005225494368316,False,0.7,0.01926745168725525,False,0.7,0.0192674516872558,1.0,0.2,0.003171761038910148,DD,1,0,1,7,0.7,0.7
B136,sub,SUB05,RANKED,20.0,0.8,-0.18040402588945764,False,0.9,0.013365938095535072,False,0.9,0.013365938095537268,1.0,0.2,0.0035057371609097387,DD,1,0,1,9,0.9,0.9
B136,sub,SUB06,RANKED,20.0,1.0,-0.12939531756172304,False,0.8,-0.03364840620425137,False,0.8,0.036064878453323776,1.0,0.2,0.004283840880630496,H2,0,0,2,8,,
B136,sub,SUB07,RANKED,20.0,1.0,-0.2517637217418515,False,0.8,-0.05785794817163658,False,0.9,-0.08031773878789947,1.0,0.2,0.0029715551637716775,CAGR,0,0,0,8,,
B136,sub,SUB08,RANKED,20.0,0.75,-0.2114210804694548,False,0.8,0.01727059084210039,False,0.9,-0.04284967836464582,0.8,0.2,0.0020636906044828596,CAGR,1,0,0,9,0.8,0.8
B136,sub,SUB09,RANKED,20.0,1.0,-0.3720558055832754,False,0.75,-0.002454780962480396,False,0.8,-0.060082373515402375,1.0,0.2,0.005252308365087055,CAGR,0,0,0,8,,
B136,sub,SUB10,RANKED,20.0,0.75,0.08008997916275791,False,0.75,0.08303784164125223,False,0.75,0.08348187434510788,1.0,0.7,0.00046826307283720503,CAGR,3,3,3,9,0.7,0.8
B136,sub,SUB11,RANKED,20.0,0.6,-0.057843075281433065,False,0.7,0.09637257362155865,False,0.7,0.09637257362155865,1.0,0.2,0.0018779275121201255,DD,3,0,2,8,0.6,0.75
SMALL,whole,RANKED5,RANKED,5.0,0.2,-1.0002837642807945,False,0.7,-0.9166707286053936,False,0.6,-0.7561811365670416,0.2,1.0,0.011142199379103157,H2,0,0,0,0,,
SMALL,whole,RANKED10,RANKED,10.0,0.6,-1.05117931570636,False,0.8,-0.5732776857961551,False,0.75,-0.49464344672775107,1.0,1.0,0.00826255057772729,H2,0,0,0,0,,
SMALL,whole,RANKED20,RANKED,20.0,0.6,-0.7670862083522388,False,1.0,-0.8633705750805243,False,0.8,-0.5944890270270081,1.0,1.0,0.0032706727379577805,H2,0,0,0,0,,
SMALL,whole,RANKED40,RANKED,40.0,0.7,-0.8215907537028458,False,0.4,-0.775755401936248,False,0.75,-0.5208734065918178,1.0,0.2,0.004459019108079998,H2,0,0,0,0,,
SMALL,whole,EWALL,EWALL,,0.7,-0.7577702524161616,False,0.6,-0.788010809906327,False,0.6,-0.6980784598511844,1.0,0.2,0.0006032249193366757,H2,0,0,0,0,,
SMALL,sub,SUB00,RANKED,20.0,1.0,-0.7020308609294882,False,1.0,-1.6084079394707755,False,1.0,-1.2167427275733016,1.0,1.0,0.0017962531070499776,H2,0,0,0,0,,
SMALL,sub,SUB01,RANKED,20.0,1.0,-0.8210311788225149,False,0.2,-1.4134843068877991,False,0.2,-1.075634758654347,1.0,0.2,0.0030356932356314995,H2,0,0,0,0,,
SMALL,sub,SUB02,RANKED,20.0,1.0,-1.3972946120534087,False,1.0,-0.4353548755859271,False,1.0,-0.45978679663799893,1.0,1.0,0.0032577232099713083,H2,0,0,0,0,,
SMALL,sub,SUB03,RANKED,20.0,0.6,-0.39244313770094524,False,0.6,-0.9649919549518631,True,0.7,-0.6569827868143379,1.0,0.2,0.0009992889080355227,H2,0,0,0,0,,
SMALL,sub,SUB04,RANKED,20.0,1.0,-1.5069851151128113,False,0.9,-1.4055881342388397,True,0.2,-1.263706834360511,1.0,0.2,0.0025155491187745654,H2,0,0,0,0,,
SMALL,sub,SUB05,RANKED,20.0,1.0,-1.232080834062324,False,0.3,-0.9160703081523214,False,0.9,-0.7426488031655774,1.0,0.2,0.0022999411308257667,H1,0,0,0,0,,
SMALL,sub,SUB06,RANKED,20.0,1.0,-0.9884335474992496,False,0.9,-0.8789736596700238,False,0.8,-0.7600834387687487,1.0,0.2,0.004476171162540427,H2,0,0,0,0,,
SMALL,sub,SUB07,RANKED,20.0,0.8,-1.0395008576151281,False,0.2,-1.1857069157870301,False,0.4,-0.9305033316849541,1.0,0.2,0.0035139583276271452,H2,0,0,0,0,,
SMALL,sub,SUB08,RANKED,20.0,1.0,-1.238724708077658,False,0.6,-0.7199715166796162,False,0.8,-0.668249763026963,1.0,0.2,0.007174427641595815,H2,0,0,0,0,,
SMALL,sub,SUB09,RANKED,20.0,0.8,-0.7205206984802682,False,0.2,-1.0445593855102782,False,0.9,-0.5804953791962901,1.0,0.2,0.002251194339982998,H2,0,0,0,0,,
SMALL,sub,SUB10,RANKED,20.0,1.0,-1.262917023528608,False,0.6,-0.9129673886367751,False,1.0,-0.8909822515799224,1.0,0.2,0.006624648094023716,H1,0,0,0,0,,
SMALL,sub,SUB11,RANKED,20.0,0.8,-0.7601886883321449,False,0.9,-1.2968530031775103,True,0.7,-0.7418015545986509,1.0,0.2,0.003680590419972679,H2,0,0,0,0,,
