panel,pair_kind,pair,dS,persist,pair_corr
U56,P_NULL,0,-0.121092861878076,0.41614038196093217,0.9534314519749287
U56,P_NULL,1,-0.05636976300069707,0.04456541596135982,0.9542606333094141
U56,P_NULL,2,-0.0047763930707157565,0.14438202169543557,0.9526632485006099
U56,P_NULL,3,-0.020758608483346985,0.21920818491325095,0.9525413953119467
U56,P_NULL,4,-0.1123189007157197,0.15650102451844627,0.952827339358184
U56,P_NULL,5,0.08478986740653394,0.33491892520299626,0.9543379935838417
U56,P_NULL,6,0.03154621492198906,0.058745917287391106,0.9542326253379347
U56,P_NULL,7,0.1296745719142144,0.16500254435801823,0.9521548105500416
U56,P_NULL,8,0.13436284601824244,0.36932579429720913,0.954815545723854
U56,P_NULL,9,0.1486316393690289,0.15597904249361216,0.9577115086994148
U56,P_NULL,10,0.01510029009963565,0.0965594611233195,0.9527397065498729
U56,P_NULL,11,0.11514738434204341,0.4843882114046059,0.9569062842005341
U56,P_NULL,12,0.07527815440315544,0.0787955659267751,0.9524417172272954
U56,P_NULL,13,0.0601773205765852,0.07003576214386802,0.9507069671441953
U56,P_NULL,14,-0.011239479874769476,0.2835885501412546,0.9519495424854344
U56,P_NULL,15,0.07291702040154469,0.36833419081730817,0.95373937277304
U56,P_NULL,16,0.08899887582708421,0.11746172353053064,0.9496282266117632
U56,P_NULL,17,0.0347510136718685,0.14346171686082254,0.9526106285024062
U56,P_NULL,18,0.05509351639587623,0.10001764353475173,0.9561446770888455
U56,P_NULL,19,-0.15203672767535448,0.24355401320412903,0.9548774691416965
U56,P_NULL,20,-0.004389571295464134,0.3293878515575671,0.9544104417040042
U56,P_NULL,21,0.08772871994349063,0.031629726389801154,0.9535361647234332
U56,P_NULL,22,0.09384459389360156,0.14178664490027362,0.9535507451150629
U56,P_NULL,23,-0.02929401233254436,0.2129136825622585,0.9531204428891716
U56,P_NULL,24,-0.015150241178736645,0.4460317305976794,0.9528249396109956
U56,P_NULL,25,-0.04230208324124307,0.5960465916638751,0.9501751071045585
U56,P_NULL,26,0.01658456894240279,0.09980232192826732,0.9514349124115463
U56,P_NULL,27,0.09661997353976337,0.21019057934907553,0.9528607720347341
U56,P_NULL,28,-0.14602440134287464,0.06999225584044473,0.952657497735741
U56,P_NULL,29,0.04637738744902564,0.29087256507347026,0.9539242051889966
U56,P_SPLIT,0,-0.03415308506593673,0.026474531651322703,0.8125988435750903
U56,P_SPLIT,1,0.0892663700134787,0.2054857711653285,0.8121147017607921
U56,P_SPLIT,2,0.12948396596281309,0.14004890334781445,0.8029851527034301
U56,P_SPLIT,3,0.09945607405789558,0.36177734347068524,0.805180689314907
U56,P_SPLIT,4,-0.023031074221807835,0.20175488387225232,0.8150593444865883
U56,P_SPLIT,5,-0.09373541725298196,0.33608855786939196,0.8121477028375069
U56,P_SPLIT,6,-0.02510849911710855,0.4870675999427815,0.8146554688865743
U56,P_SPLIT,7,-0.04678576276562363,0.07239610500375906,0.826928156178133
U56,P_SPLIT,8,-0.12227286010579086,0.08439876966053701,0.8125009092059595
U56,P_SPLIT,9,0.15100634223110787,0.15193383243066924,0.8038505134041426
U56,P_SPLIT,10,-0.12851656391384148,0.08101684041388402,0.8014324252738306
U56,P_SPLIT,11,-0.10266671700350916,0.011693379023578403,0.8108669904867387
U56,P_SPLIT,12,-0.007580611743176036,0.10822789313881866,0.8206772900182808
U56,P_SPLIT,13,0.017743957608031824,0.1131613046353798,0.817289626912014
U56,P_SPLIT,14,0.012734890897010298,0.35424900778818197,0.8112192865401618
