claim_set,n_claims,n_named_fallback,share_named,n_surv_explicit,n_surv_implicit,share_surv_implicit,n_locatable,share_locatable
STRICT,1039,180,0.17324350336862368,3,859,0.8267564966313763,987,0.9499518768046198
WIDE,1149,200,0.17406440382941687,4,949,0.8259355961705831,1082,0.9416884247171453
