panel,cost,ewall_oos_Sharpe,ewall_oos_CAGR,ewall_oos_MaxDD,ewall_4b_full,ewall_4b_oos,n_band_cells_beating_ewall_oosSharpe,n_band_cells_shallower_than_ewall,band_best_oos_Sharpe
U56,0,1.1333113042902507,0.18411045227769263,-0.291629668060712,False,False,5,5,1.3084082999126037
U56,10,1.1262584564966094,0.1827728361996397,-0.29178984854630396,False,False,5,5,1.2783977144506264
U56,25,1.1156776193011415,0.18076918313287482,-0.29203006711952884,False,False,5,5,1.2393793945502616
U56,50,1.098038871864279,0.17743713751961065,-0.2924302923565798,False,False,4,5,1.1782213798635122
B136,0,1.0925688345982445,0.1840993090926204,-0.3270639215932927,False,False,5,5,1.1577422900579812
B136,10,1.0854301380904505,0.18268755492248268,-0.3272153855796246,False,False,4,5,1.1210690026396035
B136,25,1.074720844465074,0.1805730118988893,-0.3274425325447611,False,False,0,5,1.068278408859432
B136,50,1.0568688486942772,0.17705699314850953,-0.3278209801418428,False,False,0,5,1.0224796032218144
SMALL,0,0.6039306663860444,0.11716349258472802,-0.44355573819799865,False,False,2,5,0.6110594331458215
SMALL,10,0.5944192948028434,0.11476691032996733,-0.4438143184151718,False,False,0,5,0.5860568042874938
SMALL,25,0.5801512506392749,0.11118147397572975,-0.4459610849651596,False,False,0,5,0.5485411182949109
SMALL,50,0.5563689055409449,0.10523082594357569,-0.4502167290728317,False,False,0,5,0.48599145267630817
