raw_legset,n_rows
CAGR|DD|H1|H2|OOS,200215
CAGR,136523
DD,121387
CAGR|H1|H2|OOS,86278
DD|H2|OOS,46217
CAGR|H1,42729
DD|H1|H2|OOS,34602
CAGR|H2|OOS,27421
CAGR|DD|H2|OOS,17777
DD|H1,16891
CAGR|H2,14955
DD|H2,12195
H1,6969
CAGR|H1|H2,6757
DD|H1|OOS,4019
CAGR|H1|OOS,2811
H1+H2+OOS+DD+CAGR,2790
H2,2759
H2|OOS,2754
CAGR|DD|H1,2433
CAGR|DD,2351
H1+H2+OOS+CAGR,2212
H1|H2|OOS|DD|CAGR,1839
CAGRFLOOR,1780
CAGR|DD|H2,1735
H1+CAGR,1520
DDCAP,1356
CAGR|DD|H1|H2,1327
DD|H1|H2,1014
CAGR|DD|H1|OOS,977
H1|H2|OOS|CAGR,886
CAGR|DD|H1|H2/OOS,866
DD|OOS,722
L4_DD,595
H2|OOS|DD,514
H1|H2|OOS|DD,499
CAGR|H1|H2/OOS,468
H2+OOS+CAGR,465
H1|H2|OOS,404
H2+OOS+DD+CAGR,337
