statistic,n,rec_nan,rec_absurd,rec_worst_abs,common_nan,common_absurd,common_worst_abs
conv_per_pp,756,36,62,189249740.17941752,41,0,0.8727712620379807
raw_per_pp,756,80,0,4.580153066612369,23,0,2.142710123047413
dSharpe_raw,756,0,0,1.1911004106504002,0,0,1.1911004106504002
