claim_set,q,n_objects,n_admissible,n_inadmissible,n_flip_HW,flip_share_HW,n_flip_AG,flip_share_AG,n_transfer_lax,n_transfer_strict,transfer_resolved,own_resolved_HW
CS_CSV,0.5,224,84,140,39,0.4642857142857143,37,0.44047619047619047,34,5,41,12
CS_CSV,0.68,224,84,140,39,0.4642857142857143,39,0.4642857142857143,34,5,41,12
CS_CSV,0.8,224,84,140,39,0.4642857142857143,39,0.4642857142857143,34,5,41,12
CS_CSV,0.9,224,84,140,41,0.4880952380952381,39,0.4642857142857143,41,0,41,0
CS_CSV,0.95,224,84,140,41,0.4880952380952381,45,0.5357142857142857,41,0,41,0
CS_PROSE,0.5,179,179,0,76,0.4245810055865922,79,0.441340782122905,62,14,75,27
CS_PROSE,0.68,179,179,0,76,0.4245810055865922,78,0.43575418994413406,62,14,75,27
CS_PROSE,0.8,179,179,0,76,0.4245810055865922,76,0.4245810055865922,62,14,75,27
CS_PROSE,0.9,179,179,0,75,0.41899441340782123,76,0.4245810055865922,75,0,75,0
CS_PROSE,0.95,179,179,0,75,0.41899441340782123,89,0.4972067039106145,75,0,75,0
CS_ALL,0.5,403,263,140,115,0.4372623574144487,116,0.44106463878326996,96,19,116,39
CS_ALL,0.68,403,263,140,115,0.4372623574144487,117,0.4448669201520912,96,19,116,39
CS_ALL,0.8,403,263,140,115,0.4372623574144487,115,0.4372623574144487,96,19,116,39
CS_ALL,0.9,403,263,140,116,0.44106463878326996,115,0.4372623574144487,116,0,116,0
CS_ALL,0.95,403,263,140,116,0.44106463878326996,134,0.5095057034220533,116,0,116,0
