gate,detail,value,bar,PASS
G2,POP_A (216 DG cells),0.0,0.0,True
G2,POP_B (1404 shuffle rows),0.0,0.0,True
G3,nesting,0.0,0.0,True
G0,U56,4700.0,4700.0,True
G0,B136,4699.0,4699.0,True
G0,SMALL439,4194.0,4194.0,True
G1,U56/EWall,1.3877787807814457e-17,1e-12,True
G1,U56/BREADTH-DG,1.0408340855860843e-17,1e-12,True
G1,U56/RULES v2,6.938893903907228e-18,1e-12,True
G4,matched gross,1.7763568394002505e-15,1e-12,True
G5,fresh vs idea 592,9.8879238130678e-17,0.0001,True
