family,n,modal_oos_argmax,modal_share,share_6W,zone_share,zone_new_share,share_slower_than_10W,modal_is_pick,is_pick_M_share,is_pick_zone_share
ALL,115,6W,0.5043478260869565,0.5043478260869565,0.8,0.2956521739130435,0.14782608695652175,M,0.22608695652173913,0.43478260869565216
SMALL,49,2M,0.3673469387755102,0.0,0.5306122448979592,0.5306122448979592,0.3469387755102041,2Q,0.16326530612244897,0.4489795918367347
U56,33,6W,0.8787878787878788,0.8787878787878788,1.0,0.12121212121212122,0.0,7W,0.24242424242424243,0.45454545454545453
ETF,33,6W,0.8787878787878788,0.8787878787878788,1.0,0.12121212121212122,0.0,M,0.30303030303030304,0.3939393939393939
