panel,ndraw,q,dSharpe_mean,dSharpe_sd,dSharpe_fracpos,dCAGR_mean,dCAGR_fracpos,dMaxDD_mean,dMaxDD_fracpos
U56,40,0.1,-0.004205587404295297,0.002474517899984188,0.1,-0.0007228521089193585,0.1,-2.4980018054066023e-17,0.325
B136,40,0.1,-0.002565658209239563,0.0011197908530458129,0.075,-0.0003858318598248922,0.025,0.000726224478922069,0.925
SMALL439,40,0.1,-0.0036904164797778387,0.0023970350036859765,0.05,0.0001485038335944322,0.65,-0.010302352847889348,0.0
