ladder,rungs,pid,reading,n,n_undef,incumbent,prescribed,rho_incumbent,rho_prescribed,abs_gain,survives,target,pop,label
L1,10,239,POOLED,54,0,X0_dS_ctrl,X_EWALL,-0.46117781589479695,0.8786354107108822,0.4174575948160853,True,T_OOS,TOP20,publish the UN-RANKED EWall control beside every panel claim
L1,10,239,CELL,54,0,X0_dS_ctrl,X_EWALL,-0.46117781589479695,0.8786354107108822,0.4174575948160853,True,T_OOS,TOP20,publish the UN-RANKED EWall control beside every panel claim
L1,10,471,POOLED,54,0,X0_dS_ctrl,X_TWIN,-0.46117781589479695,-0.46117781589479695,0.0,False,T_OOS,TOP20,publish the MATCHED-GROSS twin on every regime split
L1,10,471,CELL,54,0,X0_dS_ctrl,X_TWIN,-0.46117781589479695,-0.46117781589479695,0.0,False,T_OOS,TOP20,publish the MATCHED-GROSS twin on every regime split
L1,10,583,POOLED,54,0,X0_dC_ctrl,X_GROSSC,-0.4634648370497426,-0.41597103106537064,-0.04749380598437197,False,T_OOS,TOP20,publish BOTH arms' GROSS beside every CAGR comparison
L1,10,583,CELL,54,0,X0_dC_ctrl,X_GROSSC,-0.4634648370497426,-0.41597103106537064,-0.04749380598437197,False,T_OOS,TOP20,publish BOTH arms' GROSS beside every CAGR comparison
L1,10,604,POOLED,54,0,X0_dS_ctrl,X_PLAC,-0.46117781589479695,-0.20243948923194202,-0.2587383266628549,False,T_OOS,TOP20,publish a BLOCK PLACEBO column beside every twin claim
L1,10,604,CELL,54,0,X0_dS_ctrl,X_PLAC,-0.46117781589479695,-0.20243948923194202,-0.2587383266628549,False,T_OOS,TOP20,publish a BLOCK PLACEBO column beside every twin claim
L1,10,607,POOLED,54,54,X_TWIN,X_CSTAR_L1,-0.46117781589479695,,,False,T_OOS,TOP20,publish a CROSSING COST beside every twin claim
L1,10,607,CELL,54,54,X_TWIN,X_CSTAR_L1,-0.46117781589479695,,,False,T_OOS,TOP20,publish a CROSSING COST beside every twin claim
L1,10,613,POOLED,54,0,X_TO,X_DRAG,-0.4876310272536687,-0.4876310272536687,0.0,False,T_OOS,TOP20,"publish DRAG, not TURNOVER (the published control)"
L1,10,613,CELL,54,0,X_TO,X_DRAG,-0.4876310272536687,-0.4876310272536687,0.0,False,T_OOS,TOP20,"publish DRAG, not TURNOVER (the published control)"
L2,10|25,239,POOLED,108,0,X0_dS_ctrl,X_EWALL,-0.464136347614012,0.7857136052283098,0.3215772576142978,True,T_OOS,TOP20,publish the UN-RANKED EWall control beside every panel claim
L2,10|25,239,CELL,54,0,X0_dS_ctrl,X_EWALL,-0.4248904135696588,0.8755860491709547,0.45069563560129594,True,T_OOS,TOP20,publish the UN-RANKED EWall control beside every panel claim
L2,10|25,471,POOLED,108,0,X0_dS_ctrl,X_TWIN,-0.464136347614012,-0.46398391875541833,-0.00015242885859367838,False,T_OOS,TOP20,publish the MATCHED-GROSS twin on every regime split
L2,10|25,471,CELL,54,0,X0_dS_ctrl,X_TWIN,-0.4248904135696588,-0.42626262626262623,0.001372212692967445,True,T_OOS,TOP20,publish the MATCHED-GROSS twin on every regime split
L2,10|25,583,POOLED,108,0,X0_dC_ctrl,X_GROSSC,-0.49898539540998593,-0.4247811216858632,-0.07420427372412275,False,T_OOS,TOP20,publish BOTH arms' GROSS beside every CAGR comparison
L2,10|25,583,CELL,54,0,X0_dC_ctrl,X_GROSSC,-0.44120449780827137,-0.3669525443110348,-0.07425195349723657,False,T_OOS,TOP20,publish BOTH arms' GROSS beside every CAGR comparison
L2,10|25,604,POOLED,108,0,X0_dS_ctrl,X_PLAC,-0.464136347614012,-0.1963378966722875,-0.2677984509417245,False,T_OOS,TOP20,publish a BLOCK PLACEBO column beside every twin claim
L2,10|25,604,CELL,54,0,X0_dS_ctrl,X_PLAC,-0.4248904135696588,-0.06094911377930245,-0.36394129979035633,False,T_OOS,TOP20,publish a BLOCK PLACEBO column beside every twin claim
L2,10|25,607,POOLED,108,0,X_TWIN,X_CSTAR_L2,-0.46398391875541833,0.24142862793762399,-0.22255529081779435,False,T_OOS,TOP20,publish a CROSSING COST beside every twin claim
L2,10|25,607,CELL,54,0,X_TWIN,X_CSTAR_L2,-0.42626262626262623,0.26912609115731007,-0.15713653510531617,False,T_OOS,TOP20,publish a CROSSING COST beside every twin claim
L2,10|25,613,POOLED,108,0,X_TO,X_DRAG,-0.5015745109547359,-0.5857650499680852,0.08419053901334927,True,T_OOS,TOP20,"publish DRAG, not TURNOVER (the published control)"
L2,10|25,613,CELL,54,0,X_TO,X_DRAG,-0.49197636744806544,-0.49197636744806544,0.0,False,T_OOS,TOP20,"publish DRAG, not TURNOVER (the published control)"
L4,0|10|25|50,239,POOLED,216,0,X0_dS_ctrl,X_EWALL,-0.4459376748949142,0.803288917467462,0.3573512425725478,True,T_OOS,TOP20,publish the UN-RANKED EWall control beside every panel claim
L4,0|10|25|50,239,CELL,54,0,X0_dS_ctrl,X_EWALL,-0.41886792452830185,0.8544692205069563,0.43560129597865443,True,T_OOS,TOP20,publish the UN-RANKED EWall control beside every panel claim
L4,0|10|25|50,471,POOLED,216,0,X0_dS_ctrl,X_TWIN,-0.4459376748949142,-0.4433989449743388,-0.002538729920575411,False,T_OOS,TOP20,publish the MATCHED-GROSS twin on every regime split
L4,0|10|25|50,471,CELL,54,0,X0_dS_ctrl,X_TWIN,-0.41886792452830185,-0.4189441585668,7.623403849815746e-05,True,T_OOS,TOP20,publish the MATCHED-GROSS twin on every regime split
L4,0|10|25|50,583,POOLED,216,0,X0_dC_ctrl,X_GROSSC,-0.5550940310324118,-0.445266078424368,-0.10982795260804384,False,T_OOS,TOP20,publish BOTH arms' GROSS beside every CAGR comparison
L4,0|10|25|50,583,CELL,54,0,X0_dC_ctrl,X_GROSSC,-0.433428625881456,-0.3578044596912521,-0.0756241661902039,False,T_OOS,TOP20,publish BOTH arms' GROSS beside every CAGR comparison
L4,0|10|25|50,604,POOLED,216,0,X0_dS_ctrl,X_PLAC,-0.4459376748949142,-0.4642958358637278,0.018358160968813597,True,T_OOS,TOP20,publish a BLOCK PLACEBO column beside every twin claim
L4,0|10|25|50,604,CELL,54,0,X0_dS_ctrl,X_PLAC,-0.41886792452830185,-0.04150943396226415,-0.3773584905660377,False,T_OOS,TOP20,publish a BLOCK PLACEBO column beside every twin claim
L4,0|10|25|50,607,POOLED,216,0,X_TWIN,X_CSTAR_L4,-0.4433989449743388,0.1812235138894357,-0.2621754310849031,False,T_OOS,TOP20,publish a CROSSING COST beside every twin claim
