test,arm,pick,isSharpe,oCAGR,oSharpe,oMaxDD
WF-A,MA-THRESH/DEGROSS,theta -0.40 cad Q,0.7368408498827737,0.07975352536349556,0.5874263980687731,-0.3246766886644833
WF-A,MA-THRESH/RESPREAD,theta +0.30 cad M,0.8874006931164304,0.24022985785064388,1.1041600612175628,-0.3077804460589927
WF-A,QUANTILE-M/DEGROSS,theta -0.12 cad Q,0.7213779117886006,0.070284119437932,0.6364559184268215,-0.2542594664480021
WF-A,QUANTILE-M/RESPREAD,theta -0.12 cad Q,0.7192034473130972,0.09351835230738037,0.630666654070711,-0.3483239520605923
WF-B,family pick (DEGROSS),MA in 15/27,,0.04680772900027868,0.6221039937671992,
WF-C,MA-THRESH,IS-mean constant,-0.020087613597061547,-0.5917511576366304,0.5789221409058265,0.597521783125328
WF-C,QUANTILE-M,IS-mean constant,-0.03266382763989183,-0.00016509507986892,0.03477798344979069,0.021575799073174723
