char,K,n_overlap,gap_FULL,gap_IS,gap_OOS,abs_IS,abs_OOS,shrink_IS,shrink_OOS,leg,sel_flavour,sel_level,sel_seed,sel_gross,sel_cadence,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,v2_OOS_CAGR,v2_OOS_Sharpe,v2_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,beat_v2,beat_spy,hh_BONLY,hh_SONLY
mrho,20,9,0.06210393455795779,0.14422448856602474,0.022200163545685422,0.14465781273944014,0.129064223211685,False,False,WF-A,,,,,,,,,,,,,,,,,,,
mrho,28,8,0.05663521054162483,0.11564239400959866,0.027501554767967992,0.12771749875304778,0.15664907430521569,False,False,WF-A,,,,,,,,,,,,,,,,,,,
mrho,36,7,0.09324386726310019,0.1282885847136366,0.07779151078782383,0.14104266588052433,0.1289653115277923,False,False,WF-A,,,,,,,,,,,,,,,,,,,
cvol,20,3,0.14382741191214016,0.25992340683164633,0.08215744998236103,0.25992340683164633,0.10327590067229435,False,False,WF-A,,,,,,,,,,,,,,,,,,,
cvol,28,2,0.11311798222698996,0.18442370755172394,0.07536164983865642,0.18442370755172394,0.07536164983865642,False,True,WF-A,,,,,,,,,,,,,,,,,,,
cvol,36,1,0.134952276803615,0.2143970696008391,0.09160773446965201,0.2143970696008391,0.09160773446965201,False,True,WF-A,,,,,,,,,,,,,,,,,,,
mrho,20,9,,,,,,,,WF-B,BONLY,0.194679,1.0,1.0,M,1.412805594120618,0.220279305575386,1.1533840431784486,-0.2606840902350671,0.09534821724270404,1.2850855590004044,-0.12054945176473153,0.15450723909089636,0.8820106885412021,-0.33717256775620263,False,True,1.0378147915854257,0.3298573004820845
mrho,28,8,,,,,,,,WF-B,BONLY,0.148271,0.0,1.0,M,1.4259788065239263,0.21959153083537886,1.3146463863581512,-0.25935434579340577,0.09534821724270404,1.2850855590004044,-0.12054945176473153,0.15450723909089636,0.8820106885412021,-0.33717256775620263,True,True,1.1173902977685237,0.4035440410461207
mrho,36,7,,,,,,,,WF-B,BONLY,0.194679,1.0,1.0,M,1.3882159223016384,0.21946900497374555,1.1801403212823205,-0.28486904663171564,0.09534821724270404,1.2850855590004044,-0.12054945176473153,0.15450723909089636,0.8820106885412021,-0.33717256775620263,False,True,1.1427654711467048,0.3548072366533081
cvol,20,3,,,,,,,,WF-B,BONLY,0.378049,2.0,1.0,M,1.4000818911121318,0.17150304555658624,0.9676764580415447,-0.2934574729203654,0.09534821724270404,1.2850855590004044,-0.12054945176473153,0.15450723909089636,0.8820106885412021,-0.33717256775620263,False,True,0.9572217521171699,0.3177154044442014
cvol,28,2,,,,,,,,WF-B,BONLY,0.378049,2.0,1.0,M,1.3261970616409795,0.15779800999373195,0.9136549634586195,-0.3075169502629882,0.09534821724270404,1.2850855590004044,-0.12054945176473153,0.15450723909089636,0.8820106885412021,-0.33717256775620263,False,True,0.9656751846073632,0.3414440346554578
cvol,36,1,,,,,,,,WF-B,BONLY,0.378049,2.0,1.0,M,1.191127823695594,0.16503846134332645,0.9589404001313738,-0.29431524593253544,0.09534821724270404,1.2850855590004044,-0.12054945176473153,0.15450723909089636,0.8820106885412021,-0.33717256775620263,False,True,0.9525389816020904,0.3358220087104847
