panel,kind,q,draw,k,breadth,breadth_IS,breadth_OOS
U56,named,,,55,0.6571317452600876,0.6582814445828143,0.6838163816381638
B136,named,,,135,0.6619132501485443,0.681095890410959,0.6782838283828383
BSTK100,named,,,100,0.6617433155080215,0.6878082191780821,0.6754455445544555
ETF36,named,,,35,0.6623987776928953,0.661917808219178,0.6863932107496464
SMALL439,named,,,439,0.3223838406015863,0.2726620276468936,0.3327860348677237
MIX q=0.0 d0,mix,0.0,0.0,40,0.6521130952380952,0.6567164179104478,0.649059405940594
MIX q=0.0 d1,mix,0.0,1.0,40,0.673422619047619,0.6774626865671641,0.6707425742574258
MIX q=0.0 d2,mix,0.0,2.0,40,0.6819940476190476,0.6907462686567164,0.6761881188118812
MIX q=0.0 d3,mix,0.0,3.0,40,0.6556249999999999,0.662313432835821,0.6511881188118812
MIX q=0.0 d4,mix,0.0,4.0,40,0.6913690476190476,0.6866417910447762,0.6945049504950496
MIX q=0.0 d5,mix,0.0,5.0,40,0.6975595238095237,0.7145522388059702,0.6862871287128712
MIX q=0.1 d0,mix,0.1,0.0,40,0.6375595238095239,0.6482835820895523,0.6304455445544555
MIX q=0.1 d1,mix,0.1,1.0,40,0.6005357142857143,0.5882835820895522,0.6086633663366336
MIX q=0.1 d2,mix,0.1,2.0,40,0.6339880952380952,0.6421641791044777,0.6285643564356436
MIX q=0.1 d3,mix,0.1,3.0,40,0.6229464285714286,0.6147014925373134,0.6284158415841584
MIX q=0.1 d4,mix,0.1,4.0,40,0.6013392857142857,0.5877611940298508,0.6103465346534654
MIX q=0.1 d5,mix,0.1,5.0,40,0.6363095238095238,0.628955223880597,0.6411881188118812
MIX q=0.2 d0,mix,0.2,0.0,40,0.6150595238095239,0.6018656716417911,0.6238118811881188
MIX q=0.2 d1,mix,0.2,1.0,40,0.6222321428571429,0.6346268656716417,0.614009900990099
MIX q=0.2 d2,mix,0.2,2.0,40,0.635952380952381,0.6355223880597014,0.6362376237623761
MIX q=0.2 d3,mix,0.2,3.0,40,0.6275892857142856,0.6393283582089552,0.6198019801980198
MIX q=0.2 d4,mix,0.2,4.0,40,0.6474702380952381,0.6467910447761195,0.647920792079208
MIX q=0.2 d5,mix,0.2,5.0,40,0.6502083333333333,0.6408208955223881,0.6564356435643565
MIX q=0.3 d0,mix,0.3,0.0,40,0.5388095238095238,0.5388805970149253,0.5387623762376237
MIX q=0.3 d1,mix,0.3,1.0,40,0.5622619047619047,0.5731343283582089,0.5550495049504951
MIX q=0.3 d2,mix,0.3,2.0,40,0.5579464285714286,0.5607462686567164,0.556089108910891
MIX q=0.3 d3,mix,0.3,3.0,40,0.593125,0.602089552238806,0.5871782178217821
MIX q=0.3 d4,mix,0.3,4.0,40,0.5964285714285714,0.5939552238805971,0.598069306930693
MIX q=0.3 d5,mix,0.3,5.0,40,0.5648809523809524,0.5727611940298507,0.5596534653465347
MIX q=0.4 d0,mix,0.4,0.0,40,0.5046130952380953,0.5093283582089553,0.5014851485148515
MIX q=0.4 d1,mix,0.4,1.0,40,0.5483035714285714,0.5483582089552238,0.5482673267326733
MIX q=0.4 d2,mix,0.4,2.0,40,0.48151785714285716,0.4502238805970149,0.5022772277227723
