period,D,est,bar,n,inside,share,nz_share,two_share,three_share,two_nz,three_nz,mean_bar
FULL,3,RSS_INDEP,1.0,607,300,0.4942339373970346,0.33978494623655914,0.3826086956521739,0.6412213740458015,0.20522388059701493,0.5228426395939086,0.10423732538718354
FULL,3,RSS_INDEP,2.0,607,350,0.5766062602965404,0.44731182795698926,0.45217391304347826,0.7404580152671756,0.2947761194029851,0.6548223350253807,0.10423732538718354
FULL,3,PAIR_INDEP,1.0,607,278,0.45799011532125206,0.2924731182795699,0.3826086956521739,0.5572519083969466,0.20522388059701493,0.41116751269035534,0.09117208298931992
FULL,3,PAIR_INDEP,2.0,607,345,0.5683690280065898,0.43655913978494626,0.45217391304347826,0.7213740458015268,0.2947761194029851,0.6294416243654822,0.09117208298931992
FULL,3,PAIR_SEED,1.0,607,245,0.40362438220757824,0.221505376344086,0.34492753623188405,0.48091603053435117,0.15671641791044777,0.3096446700507614,0.07343444561819648
FULL,3,PAIR_SEED,2.0,607,291,0.4794069192751236,0.3204301075268817,0.39710144927536234,0.5877862595419847,0.22388059701492538,0.4517766497461929,0.07343444561819648
FULL,3,PAIR_COUPLED,1.0,607,231,0.3805601317957166,0.1913978494623656,0.3217391304347826,0.4580152671755725,0.12686567164179105,0.27918781725888325,0.05311113512666522
FULL,3,PAIR_COUPLED,2.0,607,281,0.46293245469522243,0.2989247311827957,0.3739130434782609,0.5801526717557252,0.19402985074626866,0.4416243654822335,0.05311113512666522
FULL,3,PAIR_DIRECT,1.0,607,249,0.4102141680395387,0.23010752688172043,0.34782608695652173,0.49236641221374045,0.16044776119402984,0.3248730964467005,0.07274393796024632
FULL,3,PAIR_DIRECT,2.0,607,309,0.5090609555189456,0.35913978494623655,0.4260869565217391,0.6183206106870229,0.26119402985074625,0.49238578680203043,0.07274393796024632
FULL,6,RSS_INDEP,1.0,607,300,0.4942339373970346,0.33978494623655914,0.3826086956521739,0.6412213740458015,0.20522388059701493,0.5228426395939086,0.10831730201801575
FULL,6,RSS_INDEP,2.0,607,361,0.5947281713344317,0.47096774193548385,0.48695652173913045,0.7366412213740458,0.33955223880597013,0.649746192893401,0.10831730201801575
FULL,6,PAIR_INDEP,1.0,607,277,0.45634266886326197,0.2903225806451613,0.3826086956521739,0.5534351145038168,0.20522388059701493,0.40609137055837563,0.09817445247132843
FULL,6,PAIR_INDEP,2.0,607,356,0.586490939044481,0.46021505376344085,0.48695652173913045,0.7175572519083969,0.33955223880597013,0.6243654822335025,0.09817445247132843
FULL,6,PAIR_SEED,1.0,607,284,0.46787479406919275,0.3053763440860215,0.391304347826087,0.5687022900763359,0.21641791044776118,0.4263959390862944,0.0933823719349908
FULL,6,PAIR_SEED,2.0,607,350,0.5766062602965404,0.44731182795698926,0.463768115942029,0.7251908396946565,0.30970149253731344,0.6345177664974619,0.0933823719349908
FULL,6,PAIR_COUPLED,1.0,607,296,0.4876441515650741,0.3311827956989247,0.3855072463768116,0.6221374045801527,0.208955223880597,0.49746192893401014,0.10444099238334201
FULL,6,PAIR_COUPLED,2.0,607,356,0.586490939044481,0.46021505376344085,0.48695652173913045,0.7175572519083969,0.33955223880597013,0.6243654822335025,0.10444099238334201
FULL,6,PAIR_DIRECT,1.0,607,288,0.4744645799011532,0.3139784946236559,0.4028985507246377,0.5687022900763359,0.23134328358208955,0.4263959390862944,0.105550152172931
