family,cost_bps,rows,pass4a,pass4b
panel,0,60,2,8
panel,5,60,3,8
panel,10,60,5,7
panel,15,60,5,2
panel,20,60,9,0
panel,25,60,10,0
panel,30,60,17,0
subpanel,0,864,70,157
subpanel,5,864,88,120
subpanel,10,864,106,91
subpanel,15,864,135,58
subpanel,20,864,167,27
subpanel,25,864,205,6
subpanel,30,864,267,0
