panel,s,variant,window,d_mean_bp,se_bp,t,d_sharpe,d_dd_pp
U56,0.5,ANCHOR,FULL,0.0,0.0,,0.0,0.0
U56,0.5,ANCHOR,OOS,0.0,0.0,,0.0,0.0
U56,0.5,FIXED,FULL,-0.11584882475031334,0.0648669467193436,-1.7859453945250476,-0.005500441742006146,0.02316253144631908
U56,0.5,FIXED,OOS,-0.18626095185735755,0.1104114686150513,-1.686971056482863,-0.012584293336704189,0.023162531446352386
U56,0.5,FILL,FULL,-0.0030172214754284176,0.38067230385272494,-0.00792603361182726,0.02087654499670255,-0.08482206312687701
U56,0.5,FILL,OOS,-0.23745107798679546,0.5866398471634099,-0.4047646595009645,-0.02292168575745368,-0.08482206312685481
U56,0.5,FREEZE,FULL,-0.11877475983596125,0.12627004468929495,-0.9406408315465723,-0.027025289644538875,-1.0787225005087109
U56,0.5,FREEZE,OOS,0.0921422796471683,0.15734377758190632,0.5856112079119432,0.007795021181866257,-1.078722500508733
U56,0.5,CASH,FULL,-0.04151319213343745,0.042724748320741884,-0.971642754260152,-0.006682712562690929,-4.440892098500626e-14
U56,0.5,CASH,OOS,0.0,0.0,,0.0,0.0
U56,0.5,SPY,FULL,-0.029439145156098648,0.06545599681195564,-0.4497547450185884,-0.021857965058374562,1.1102230246251565e-14
U56,0.5,SPY,OOS,0.0,0.0,,0.0,0.0
U56,0.75,ANCHOR,FULL,0.0,0.0,,0.0,0.0
U56,0.75,ANCHOR,OOS,0.0,0.0,,0.0,0.0
U56,0.75,FIXED,FULL,-0.11584882475031334,0.0648669467193436,-1.7859453945250476,-0.005500441742006146,0.02316253144631908
U56,0.75,FIXED,OOS,-0.18626095185735755,0.1104114686150513,-1.686971056482863,-0.012584293336704189,0.023162531446352386
U56,0.75,FILL,FULL,-0.12844413438495889,0.37985445454142175,-0.3381403925880578,-0.003405685665139213,-0.9351093600212801
U56,0.75,FILL,OOS,-0.2564643095884243,0.5820101243046533,-0.44065266028633215,-0.02861623842181449,-0.9351093600212579
U56,0.75,FREEZE,FULL,-0.04055992935021779,0.22267177395183543,-0.18215119334788712,-0.011448117566420946,-3.74790112142529
U56,0.75,FREEZE,OOS,-0.16197507761774,0.3006221502969115,-0.5387995444040442,-0.043220908837286354,-3.74790112142529
U56,0.75,CASH,FULL,-0.11209816265366188,0.09812272059495238,-1.1424281957733287,-0.014907336872155952,-4.440892098500626e-14
U56,0.75,CASH,OOS,-0.14554704352759848,0.1348282203154804,-1.0794998494160752,-0.02466138774212423,0.0
U56,0.75,SPY,FULL,0.007966699772566456,0.2953287564674319,0.026975699447151547,-0.061787889424608666,-2.9343827820613844
U56,0.75,SPY,OOS,0.014721976309555735,0.018160055276696,0.8106790472409958,0.0005766353451124306,0.0
