stat,support,committed_verdict,remeasured_verdict,committed_b_br,remeasured_b_br,committed_b_k,remeasured_b_k,verdict_held
S1_rho_n_OOS,"laneB q in [0,1] k<=100",breadth,breadth,0.7254369087912079,0.6720228172996904,-0.0364114392999896,0.20972981958917944,True
S1_rho_n_OOS,NARROW q>=0.5 k<=100,breadth,n_elig,0.6602549261039088,0.4710161263098603,0.1267068781312378,0.35445877847928314,False
S1_rho_n_OOS,WIDE q>=0.5 k<=400,JOINT,breadth,0.6291738424406612,0.5033342056980225,0.2969080517780402,0.21970647843465355,False
S2_overlap,"laneB q in [0,1] k<=100",JOINT,JOINT,-0.4209853744130334,-0.3381571658705028,-0.918986935786791,-0.942656510877588,True
S2_overlap,NARROW q>=0.5 k<=100,JOINT,n_elig,-0.4191267547481421,-0.32586872586872584,-0.9035706081005906,-0.9303531509899804,False
S2_overlap,WIDE q>=0.5 k<=400,n_elig,n_elig,-0.2445850492242834,-0.20365390423977042,-0.9928012991858908,-0.9964859366475367,True
S3_reversal,"laneB q in [0,1] k<=100",breadth,breadth,0.6923309407058164,0.6189191580947417,-0.053164974198853,-0.06417166951715753,True
S3_reversal,NARROW q>=0.5 k<=100,breadth,breadth,0.5812069658686829,0.3920971079559992,-0.1395327321560571,-0.042660409801068715,True
S3_reversal,WIDE q>=0.5 k<=400,breadth,NULL,0.5200479681478144,0.2696190290069848,-0.1886885867989856,-0.3223706971865338,False
S4_argmax_n,"laneB q in [0,1] k<=100",breadth,n_elig,0.6194504772519409,0.46728327867011354,0.1344354668558054,0.4299650842614942,False
S4_argmax_n,NARROW q>=0.5 k<=100,NULL,n_elig,0.4999345027158327,0.1465134519813865,0.1375937052938911,0.5785058470907243,False
S4_argmax_n,WIDE q>=0.5 k<=400,breadth,NULL,0.5326068578480281,0.270632147197748,0.2008577739049344,0.158771690906324,False
S5_fix_minus_adapt,"laneB q in [0,1] k<=100",NULL,NULL,0.2870926933551163,0.18166763728206708,-0.1352058568103145,-0.03804609607700197,True
S5_fix_minus_adapt,NARROW q>=0.5 k<=100,NULL,NULL,0.0825419763281035,-0.01981981981981984,-0.2015365399538732,0.03826645351115598,True
S5_fix_minus_adapt,WIDE q>=0.5 k<=400,NULL,NULL,0.0892024397571768,0.012106427007972357,0.0619875535958407,0.18504466534699338,True
