gate,detail,passed
G1_runner,dret 1.388e-17 dturn 4.996e-16,True
G2_mask,"{'shift0': 977, 'shift1': 976, 'shift2': 975, 'shift3': 975, 'shift4': 975, 'phase0': 941, 'phase1': 941, 'phase2': 941, 'phase3': 941, 'phase4': 940}",True
G5_band03,0.000e+00,True
G4_triples,spy True v2 True,True
G3_crossrun922,worst 0.000e+00,True
G6_determinism,exact,True
G7_spybh_zero_spread,"{'U56': 0.008052816523735351, 'B136': 0.008039625625345881, 'SMALL': 0.006065064212927629}",False
G7b_spybh_g1_zero_spread,"{'U56': 0.0, 'B136': 0.0, 'SMALL': 0.0}",True
