panel,cadence,bps,L,band,mo,da,dS,dSo,dDD,dC
U56,M,0,5,0.0,True,True,0.009830300423736338,-0.016792780710139343,0.045464226382719075,-0.008148336827161096
U56,M,10,5,0.0,True,True,0.0022440142623154635,-0.024925600867063524,0.04201285350602646,-0.00870924461757161
U56,M,25,5,0.0,True,True,-0.009284309237280963,-0.03723802985472191,0.03626214269234784,-0.00954056246886048
U56,M,50,5,0.0,True,True,-0.028785624684644184,-0.05794962282195315,0.026780020133710836,-0.010899588503514357
U56,W,0,5,0.0,True,True,-0.009177610364241806,0.003971726439305101,0.039550205616552536,-0.004839607535373602
U56,W,10,5,0.0,True,True,-0.003386667227064377,0.00790208788697,0.03670973435817837,-0.0037718803914859045
U56,W,25,5,0.0,False,False,0.005247901679465872,0.013756646324515232,0.03247675503641756,-0.0022098506585421784
U56,W,50,5,0.0,False,False,0.019512555225154715,0.023441914003300868,0.022534575375398602,0.00029060516472645403
U56,M,0,5,0.02,True,True,-0.004189658379518235,-0.009288140190628402,0.024155358838239493,-0.005617486066596511
U56,M,10,5,0.02,True,True,-0.006272293466966783,-0.012125114419219152,0.024137686101667666,-0.005662401735250899
U56,M,25,5,0.02,True,True,-0.009419804349477978,-0.016411090564768305,0.024111176996809647,-0.005728877790838194
U56,M,50,5,0.02,True,False,-0.014700835277996926,-0.02360257226409357,0.02406699515537969,-0.005837301977905662
U56,W,0,5,0.02,True,True,0.0013463020685950955,0.010096081048664107,0.011824064897064668,-2.198179914181253e-05
U56,W,10,5,0.02,True,True,0.009615140714103187,0.01664853336605332,0.01195013809436174,0.0010254700204868072
U56,W,25,5,0.02,True,False,0.02202708251867025,0.026474144390057686,0.012138696203211063,0.002558925776359633
U56,W,50,5,0.02,False,False,0.04267635490544175,0.04280425036097668,0.012451489588805376,0.005016440673881295
U56,M,0,5,0.03,True,False,-0.03312802640689694,-0.043685416359482865,0.027391429765972197,-0.0077627761960410435
U56,M,10,5,0.03,True,False,-0.03360425337803585,-0.04495688366285222,0.02734268190093181,-0.007659947577468129
