load_prices: network unavailable (ModuleNotFoundError); using prices.csv
load_prices: network unavailable (ModuleNotFoundError); using prices.csv
  SMALL: dropped 54 names with max_1d_move >= 1.0; 665 remain (SURVIVORSHIP: current constituents only)

=== GATES ===
                                                gate  max_abs_diff
                               G1 fast==engine U56/W  0.000000e+00
                               G1 fast==engine U56/M  0.000000e+00
  G2 bk_rulesv2(0.75)==baseline.rules_v2_weights U56  0.000000e+00
                             G3 beta(SPY,SPY)==1 U56  2.220446e-16
                              G1 fast==engine B136/W  0.000000e+00
                              G1 fast==engine B136/M  0.000000e+00
 G2 bk_rulesv2(0.75)==baseline.rules_v2_weights B136  0.000000e+00
                            G3 beta(SPY,SPY)==1 B136  0.000000e+00
                             G1 fast==engine SMALL/W  0.000000e+00
                             G1 fast==engine SMALL/M  0.000000e+00
G2 bk_rulesv2(0.75)==baseline.rules_v2_weights SMALL  0.000000e+00
                           G3 beta(SPY,SPY)==1 SMALL  3.330669e-16
  U56: done [19s]
  B136: done [31s]
  SMALL: done [69s]

GRID: 432 cells (288 unlevered) -> 2026-09-22_cagr-floor-as-a-beta-bar_cloud.grid.csv

=== A. IS THE CAGR LEG A BETA BAR? (unlevered cells) ===
panel cadence  cost_bps  n  spearman  pearson     r2   slope  resid_sd  cagr_sd  beta_lo  beta_hi
 B136       M         0 12    0.9930   0.9979 0.9958  0.2373    0.0026   0.0399   0.1220   0.6426
 B136       M        10 12    1.0000   0.9997 0.9994  0.2216    0.0009   0.0372   0.1220   0.6424
 B136       M        25 12    1.0000   0.9874 0.9750  0.1983    0.0053   0.0337   0.1220   0.6421
 B136       M        50 12    0.9161   0.9012 0.8121  0.1602    0.0129   0.0298   0.1219   0.6415
 B136       W         0 12    1.0000   0.9995 0.9990  0.2394    0.0012   0.0363   0.1105   0.5849
 B136       W        10 12    1.0000   0.9723 0.9454  0.2037    0.0074   0.0318   0.1106   0.5850
 B136       W        25 12    0.8531   0.8008 0.6413  0.1518    0.0172   0.0288   0.1106   0.5852
 B136       W        50 12    0.3706   0.3041 0.0925  0.0693    0.0330   0.0346   0.1106   0.5855
SMALL       M         0 12    0.9790   0.9983 0.9967  0.1816    0.0015   0.0258   0.0932   0.5584
SMALL       M        10 12    0.9930   0.9924 0.9849  0.1527    0.0027   0.0218   0.0932   0.5582
SMALL       M        25 12    0.8881   0.8848 0.7828  0.1102    0.0082   0.0177   0.0932   0.5580
SMALL       M        50 12    0.4685   0.3191 0.1018  0.0412    0.0174   0.0183   0.0932   0.5575
SMALL       W         0 12    0.9790   0.9783 0.9571  0.2152    0.0057   0.0275   0.0840   0.4916
SMALL       W        10 12    0.9790   0.9844 0.9690  0.1464    0.0033   0.0186   0.0840   0.4919
SMALL       W        25 12    0.4685   0.3504 0.1228  0.0475    0.0159   0.0170   0.0840   0.4923
SMALL       W        50 12    0.0280  -0.3507 0.1230 -0.1068    0.0358   0.0382   0.0841   0.4931
  U56       M         0 12    0.9580   0.9982 0.9964  0.2473    0.0025   0.0408   0.1150   0.6398
  U56       M        10 12    0.9580   0.9965 0.9930  0.2374    0.0033   0.0393   0.1150   0.6397
  U56       M        25 12    0.9580   0.9907 0.9814  0.2227    0.0050   0.0370   0.1150   0.6395
  U56       M        50 12    0.9580   0.9691 0.9391  0.1984    0.0083   0.0337   0.1150   0.6391
  U56       W         0 12    0.9580   0.9960 0.9920  0.2601    0.0034   0.0383   0.1043   0.5696
  U56       W        10 12    0.9580   0.9839 0.9681  0.2365    0.0063   0.0353   0.1043   0.5698
  U56       W        25 12    0.8671   0.9335 0.8714  0.2018    0.0114   0.0317   0.1044   0.5701
  U56       W        50 12    0.7902   0.7307 0.5340  0.1455    0.0200   0.0293   0.1044   0.5705

pooled: median spearman(beta, CAGR) +0.9580, median R^2 0.9626, median residual sd 0.0060 against a CAGR sd of 0.0328 -> beta explains 96.3% of the CAGR spread

=== B. CENSUS OF CAGR-LEG FAILURES (unlevered, 288 cells) ===
cells                           288
fail_incumbent                  244
survive_beta_floor              228
survive_and_clear_other_legs    118
survive_and_clear_OOS_too       118
survive_gross_floor             192

4b pass counts by FLOOR DEFINITION (unlevered):
         full  oos  full_and_oos
F_SPY70    19   18            16
F_BETA    137  140           137
F_GROSS   137  140           137
F_NONE    137  140           137

4a (vs live RULES v2, same panel and cost): 30 of 288 unlevered cells
BOTH 4a and 4b(incumbent floor) full+OOS: 0
BOTH 4a and 4b(BETA floor) full+OOS:      5

Cells the INCUMBENT floor rejects that clear EVERY OTHER 4b leg under the beta-matched floor (full sample):
panel    book  gross cadence  cost_bps   CAGR  Sharpe   MaxDD     H1     H2  beta_full  floor_F_SPY70  floor_F_BETA  keep4a  keep4b_oos_F_BETA
  U56 RULESV2 0.2500       W         0 0.0291  1.2267 -0.0409 1.2521 1.2073     0.1043         0.1060        0.0111   False               True
  U56 RULESV2 0.2500       W        10 0.0285  1.2010 -0.0410 1.2262 1.1817     0.1043         0.1060        0.0111   False               True
  U56 RULESV2 0.2500       W        25 0.0276  1.1624 -0.0411 1.1873 1.1433     0.1044         0.1060        0.0111   False               True
  U56 RULESV2 0.2500       W        50 0.0260  1.0981 -0.0414 1.1224 1.0793     0.1044         0.1060        0.0111   False               True
  U56 RULESV2 0.2500       M         0 0.0297  1.1855 -0.0498 1.2251 1.1539     0.1150         0.1060        0.0122   False               True
  U56 RULESV2 0.2500       M        10 0.0292  1.1689 -0.0499 1.2082 1.1374     0.1150         0.1060        0.0122   False               True
  U56 RULESV2 0.2500       M        25 0.0286  1.1438 -0.0500 1.1828 1.1125     0.1150         0.1060        0.0122   False               True
  U56 RULESV2 0.2500       M        50 0.0275  1.1018 -0.0501 1.1403 1.0709     0.1150         0.1060        0.0122   False               True
  U56 RULESV2 0.5000       W         0 0.0585  1.2264 -0.0810 1.2525 1.2064     0.2088         0.1060        0.0221   False               True
  U56 RULESV2 0.5000       W        10 0.0572  1.2011 -0.0812 1.2270 1.1812     0.2088         0.1060        0.0221   False               True
  U56 RULESV2 0.5000       W        25 0.0553  1.1631 -0.0814 1.1887 1.1434     0.2089         0.1060        0.0221   False               True
  U56 RULESV2 0.5000       W        50 0.0522  1.0997 -0.0819 1.1248 1.0803     0.2090         0.1060        0.0222   False               True
  U56 RULESV2 0.5000       M         0 0.0597  1.1870 -0.0977 1.2271 1.1549     0.2306         0.1060        0.0244   False               True
  U56 RULESV2 0.5000       M        10 0.0588  1.1705 -0.0978 1.2104 1.1385     0.2306         0.1060        0.0244   False               True
  U56 RULESV2 0.5000       M        25 0.0575  1.1457 -0.0980 1.1853 1.1139     0.2306         0.1060        0.0244   False               True
  U56 RULESV2 0.5000       M        50 0.0553  1.1042 -0.0983 1.1433 1.0727     0.2305         0.1060        0.0244   False               True
  U56 RULESV2 0.7500       W         0 0.0881  1.2261 -0.1203 1.2529 1.2056     0.3134         0.1060        0.0332   False               True
  U56 RULESV2 0.7500       W        10 0.0862  1.2010 -0.1205 1.2276 1.1806     0.3135         0.1060        0.0332   False               True
  U56 RULESV2 0.7500       W        25 0.0833  1.1635 -0.1209 1.1898 1.1432     0.3136         0.1060        0.0332   False               True
  U56 RULESV2 0.7500       W        50 0.0785  1.1007 -0.1216 1.1266 1.0807     0.3138         0.1060        0.0333   False               True
  U56 RULESV2 0.7500       M         0 0.0901  1.1884 -0.1436 1.2291 1.1558     0.3467         0.1060        0.0367   False               True
  U56 RULESV2 0.7500       M        10 0.0888  1.1720 -0.1438 1.2125 1.1396     0.3467         0.1060        0.0367   False               True
  U56 RULESV2 0.7500       M        25 0.0867  1.1474 -0.1441 1.1876 1.1151     0.3466         0.1060        0.0367   False               True
  U56 RULESV2 0.7500       M        50 0.0834  1.1062 -0.1445 1.1459 1.0743     0.3466         0.1060        0.0367   False               True
  U56 RULESV2 1.0000       W        50 0.1049  1.1012 -0.1604 1.1277 1.0805     0.4187         0.1060        0.0444   False               True
  U56  BAND06 0.2500       W         0 0.0279  1.1564 -0.0459 1.2015 1.1205     0.1079         0.1060        0.0114   False               True
  U56  BAND06 0.2500       W        10 0.0275  1.1377 -0.0459 1.1829 1.1017     0.1079         0.1060        0.0114   False               True
  U56  BAND06 0.2500       W        25 0.0268  1.1097 -0.0460 1.1549 1.0735     0.1080         0.1060        0.0114   False               True
  U56  BAND06 0.2500       W        50 0.0256  1.0629 -0.0462 1.1083 1.0264     0.1080         0.1060        0.0114   False               True
  U56  BAND06 0.2500       M         0 0.0292  1.1346 -0.0605 1.2138 1.0759     0.1200         0.1060        0.0127   False               True
  U56  BAND06 0.2500       M        10 0.0289  1.1218 -0.0605 1.2006 1.0632     0.1200         0.1060        0.0127   False               True
  U56  BAND06 0.2500       M        25 0.0284  1.1024 -0.0605 1.1808 1.0441     0.1200         0.1060        0.0127   False               True
  U56  BAND06 0.2500       M        50 0.0275  1.0700 -0.0606 1.1476 1.0122     0.1200         0.1060        0.0127   False               True
  U56  BAND06 0.5000       W         0 0.0561  1.1560 -0.0907 1.2019 1.1195     0.2160         0.1060        0.0229   False               True
  U56  BAND06 0.5000       W        10 0.0552  1.1377 -0.0908 1.1837 1.1011     0.2161         0.1060        0.0229   False               True
  U56  BAND06 0.5000       W        25 0.0538  1.1103 -0.0910 1.1565 1.0734     0.2161         0.1060        0.0229   False               True
  U56  BAND06 0.5000       W        50 0.0515  1.0646 -0.0913 1.1110 1.0273     0.2163         0.1060        0.0229   False               True
