panel,gross,cad,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,CAGR,Sharpe,MaxDD,H1,H2
U56,0.5,W,0.05069078563747986,1.1086584975385865,-0.05279770179218313,0.06284216286869282,1.2840012516468897,-0.08009405329976282,0.05733457831336031,1.2069523833304314,-0.08009405329976271,1.2393478094170272,1.1812076685592574
U56,0.5,M,0.053538816618620366,1.1100002488869722,-0.055584048893179694,0.0634637487882348,1.230408493634849,-0.09646215263984104,0.05896790484771852,1.1773951642744,-0.09646215263984104,1.2240027589538949,1.1394388016063273
U56,0.5,Q,0.05002659033238488,1.0370557370343247,-0.06728733502739415,0.05661283526536964,0.987047995634972,-0.134375298578282,0.05363191442997062,1.0038247547778685,-0.13437529857828212,1.1542296157136485,0.8967531110860882
U56,0.75,W,0.07620465242200725,1.1092633808818584,-0.07871898333473037,0.09477776188225273,1.2834365112057167,-0.1189656784685903,0.08634662776584867,1.20691186854518,-0.11896567846859019,1.2400113676448352,1.1805913516608169
U56,0.75,M,0.08071654954233076,1.1122251350417338,-0.08283533232254237,0.09581674220240055,1.231490256058023,-0.14189123783035684,0.08896816706091881,1.1789740737388692,-0.14189123783035662,1.2260996627386453,1.1405740134055213
U56,0.75,Q,0.07513452766082684,1.0383981033140266,-0.10026558974285116,0.08478258620974866,0.982796808131588,-0.19797876583077822,0.08041269089681524,1.0015824998454048,-0.197978765830778,1.1554338304615628,0.8930135211501746
U56,1.0,W,0.1017878225517761,1.1097374293568971,-0.1043164537462622,0.12700447276081173,1.2827249689407196,-0.15704953945571787,0.11554030620111111,1.206731922215266,-0.15704953945571765,1.2405410883695904,1.1798341284798817
U56,1.0,M,0.10814442055487472,1.1143541884020463,-0.10973249485725722,0.12855556379687694,1.2324804732353007,-0.1855549063124261,0.11928718159950513,1.1804598916822733,-0.1855549063124261,1.2280801816035103,1.1416397257974413
U56,1.0,Q,0.10028403952599607,1.0396472944359045,-0.13278889027701812,0.11279905638895071,0.977962933150728,-0.25935976567755026,0.10712694541757495,0.9988856991862559,-0.25935976567755026,1.1565061952914577,0.8888062407897038
U56,,RULESv2,0.07620465242200725,1.1092633808818584,-0.07871898333473037,0.09477776188225273,1.2834365112057167,-0.1189656784685903,0.08634662776584867,1.20691186854518,-0.11896567846859019,1.2400113676448352,1.1805913516608169
U56,,SPY,0.14958787307713028,0.8986364369154567,-0.22061944945147527,0.15237187725667578,0.872122672456382,-0.33717256775620263,0.15111316477020176,0.8834737236154954,-0.3371725677562024,0.9595433758547895,0.8210748074939859
