default,pool,cells,noop,helps,hurts,win_rate,mean_d,median_d,se,t,sign_p,metric
D_NONE,P_ALL,72,72,0,0,,0.0,0.0,0.0,,,OOS_Sharpe
D_NONE,P_S1,72,72,0,0,,0.0,0.0,0.0,,,OOS_Sharpe
K_CAGR,P_ALL,72,26,33,13,0.717391304347826,0.010018472619379517,0.0,0.0031555110764964656,3.174912835515359,0.004533861582189047,OOS_Sharpe
K_CAGR,P_S1,72,48,20,4,0.8333333333333334,0.00395628487599768,0.0,0.0016843797121799643,2.3488081976939523,0.001543879508972168,OOS_Sharpe
K_Random,P_ALL,72,8,20,44,0.3125,-0.01961397269816037,-0.009919062351359309,0.007552792643381862,-2.5969166140615716,0.0036899642765400487,OOS_Sharpe
K_Random,P_S1,72,43,10,19,0.3448275862068966,-0.0060864182257754995,0.0,0.002723630508947533,-2.234671041384177,0.13604594767093658,OOS_Sharpe
K_Sharpe,P_ALL,72,17,18,37,0.32727272727272727,-0.024143621233467177,-0.0008538471708221529,0.007223556104367435,-3.3423456376104976,0.014453833533827731,OOS_Sharpe
K_Sharpe,P_S1,72,47,13,12,0.52,-0.004450006304831924,0.0,0.003017569566636399,-1.4746988284986655,1.0,OOS_Sharpe
MENU_NET,P_ALL,72,0,16,56,0.2222222222222222,-0.011072124481690766,-0.015124252733645926,0.003635202337731123,-3.045806932607038,2.397319809534421e-06,OOS_Sharpe
MENU_NET,P_S1,72,40,15,17,0.46875,0.001530089582501422,0.0,0.001796103068098809,0.8518940865242413,0.860050065908581,OOS_Sharpe
MENU_SEP,P_ALL,72,0,13,59,0.18055555555555555,-0.014927443054863388,-0.01759339634325463,0.003786720126875597,-3.942050786620965,3.808597848374418e-08,OOS_Sharpe
MENU_SEP,P_S1,72,40,13,19,0.40625,0.0009051402118374892,0.0,0.0017909971358118701,0.5053833943889494,0.37708558747544885,OOS_Sharpe
D_NONE,P_ALL,72,72,0,0,,0.0,0.0,0.0,,,OOS_CAGR
D_NONE,P_S1,72,72,0,0,,0.0,0.0,0.0,,,OOS_CAGR
K_CAGR,P_ALL,72,26,25,21,0.5434782608695652,0.0020651910096929995,0.0,0.0007946050769936496,2.5990156235932336,0.6587380770236564,OOS_CAGR
K_CAGR,P_S1,72,48,12,12,0.5,0.0002463549277934265,0.0,0.0007734456203449543,0.318516158490306,1.0,OOS_CAGR
K_Random,P_ALL,72,8,10,54,0.15625,-0.012740652353626956,-0.006194863922616145,0.0023402531747569715,-5.444134203535493,1.9964982237862146e-08,OOS_CAGR
K_Random,P_S1,72,43,7,22,0.2413793103448276,-0.0035463370917646155,0.0,0.0010545222582425743,-3.3629798366464096,0.008130058646202087,OOS_CAGR
K_Sharpe,P_ALL,72,17,7,48,0.12727272727272726,-0.011492573428883142,-0.004849074989510926,0.0021216602493156957,-5.416783121892334,1.3087586125948292e-08,OOS_CAGR
K_Sharpe,P_S1,72,47,5,20,0.2,-0.0026437768631067857,0.0,0.0009484685953970319,-2.787416342446312,0.004077315330505371,OOS_CAGR
MENU_NET,P_ALL,72,0,0,72,0.0,-0.01918093500198835,-0.016773218714692728,0.0015465163507878868,-12.402671974477638,4.235164736271502e-22,OOS_CAGR
MENU_NET,P_S1,72,40,4,28,0.125,-0.0026677467600273175,0.0,0.0007297552780050769,-3.6556731282850112,1.9301194697618484e-05,OOS_CAGR
MENU_SEP,P_ALL,72,0,0,72,0.0,-0.019726799195133864,-0.017049608881787748,0.0015715704625398387,-12.55228426936269,4.235164736271502e-22,OOS_CAGR
MENU_SEP,P_S1,72,40,4,28,0.125,-0.0027465494319363934,0.0,0.000737644239024248,-3.723406605289177,1.9301194697618484e-05,OOS_CAGR
D_NONE,P_ALL,72,72,0,0,,0.0,0.0,0.0,,,OOS_MaxDD
D_NONE,P_S1,72,72,0,0,,0.0,0.0,0.0,,,OOS_MaxDD
K_CAGR,P_ALL,72,32,35,5,0.875,0.005824448694129446,4.996003610813204e-16,0.001029356379795068,5.65834030706549,1.382612026645802e-06,OOS_MaxDD
K_CAGR,P_S1,72,48,21,3,0.875,0.006551290931080891,0.0,0.0017633263411404709,3.7153025950055825,0.0002771615982055664,OOS_MaxDD
K_Random,P_ALL,72,17,40,15,0.7272727272727273,0.021093146433929146,0.0034014034408645366,0.005114441802894352,4.1242323692083405,0.0010158471941252856,OOS_MaxDD
K_Random,P_S1,72,43,22,7,0.7586206896551724,0.009751426134837213,0.0,0.002444272671256207,3.989500127997412,0.008130058646202087,OOS_MaxDD
K_Sharpe,P_ALL,72,24,42,6,0.875,0.02188032355902885,0.008919204393674551,0.00437311044566203,5.003377763013819,1.0087482138487758e-07,OOS_MaxDD
K_Sharpe,P_S1,72,47,21,4,0.84,0.007956968076147127,0.0,0.001881178953600128,4.2297773217797205,0.0009105205535888672,OOS_MaxDD
MENU_NET,P_ALL,72,0,72,0,1.0,0.03803284688668179,0.03887300158012463,0.002316877754624135,16.41556047174868,4.235164736271502e-22,OOS_MaxDD
MENU_NET,P_S1,72,40,31,1,0.96875,0.009652636148842682,0.0,0.0019502585673119711,4.949413534507298,1.5366822481155396e-08,OOS_MaxDD
MENU_SEP,P_ALL,72,0,72,0,1.0,0.0376171418341625,0.03740589819894835,0.0022764532077859893,16.524452031565286,4.235164736271502e-22,OOS_MaxDD
MENU_SEP,P_S1,72,40,31,1,0.96875,0.009616003979606859,0.0,0.0019465763175297924,4.939957346141752,1.5366822481155396e-08,OOS_MaxDD
