panel,cadence,cash_bps,ctl_width,ctl_pts,med_treat_width,best_treat_width,n_treat_nonempty,ctl_ge_median
B136,M,0.0,0.0,0,0.050000000000000044,0.050000000000000044,5,False
B136,M,150.0,0.0,1,0.09999999999999998,0.10000000000000003,5,False
B136,M,300.0,0.09999999999999998,3,0.15000000000000002,0.15000000000000002,5,False
B136,W,0.0,0.0,0,0.04999999999999993,0.050000000000000044,3,False
B136,W,150.0,0.0,1,0.050000000000000044,0.09999999999999998,4,False
B136,W,300.0,0.050000000000000044,2,0.14999999999999997,0.15000000000000002,5,False
SMALL663,M,0.0,0.0,0,0.0,0.0,0,False
SMALL663,M,150.0,0.0,0,0.0,0.0,0,False
SMALL663,M,300.0,0.0,0,0.0,0.0,0,False
SMALL663,W,0.0,0.0,0,0.0,0.0,0,False
SMALL663,W,150.0,0.0,0,0.0,0.0,0,False
SMALL663,W,300.0,0.0,0,0.0,0.0,0,False
U56,M,0.0,0.0,1,0.15000000000000002,0.19999999999999996,5,False
U56,M,150.0,0.050000000000000044,2,0.19999999999999996,0.24999999999999994,5,False
U56,M,300.0,0.09999999999999998,3,0.20000000000000007,0.29999999999999993,5,False
U56,W,0.0,0.0,1,0.09999999999999998,0.10000000000000009,5,False
U56,W,150.0,0.050000000000000044,2,0.1499999999999999,0.15000000000000002,5,False
U56,W,300.0,0.09999999999999998,3,0.19999999999999996,0.2,5,False
