pickset,tape,picks,pick,anchor,delta,SE,committed_pick,committed_anchor,committed_delta,committed_SE,max_dev
P_AXIS,2026-09-16,168,1.0151201393069236,1.036222236510949,0.021102097204025276,0.02826640029308409,1.0151,1.0362,0.0211,0.0283,3.3599706915909966e-05
P_1214,2026-09-16,42,0.9677438466535507,1.036222236510949,0.06847838985739803,0.05142139912800588,0.9677,1.0362,0.0685,0.0514,4.384665355072759e-05
