bar,cost,leg,n_books,n_leg_const,frac_leg_const
REC_FULL,0.0,L1_H1,45,45,1.0
REC_FULL,0.0,L2_H2,45,45,1.0
REC_FULL,0.0,L3_OOS,45,45,1.0
REC_FULL,0.0,L4_DD,45,45,1.0
REC_FULL,0.0,L5_CAGR,45,43,0.9555555555555556
REC_FULL,10.0,L1_H1,45,45,1.0
REC_FULL,10.0,L2_H2,45,45,1.0
REC_FULL,10.0,L3_OOS,45,45,1.0
REC_FULL,10.0,L4_DD,45,45,1.0
REC_FULL,10.0,L5_CAGR,45,40,0.8888888888888888
REC_FULL,25.0,L1_H1,45,45,1.0
REC_FULL,25.0,L2_H2,45,45,1.0
REC_FULL,25.0,L3_OOS,45,42,0.9333333333333333
REC_FULL,25.0,L4_DD,45,44,0.9777777777777777
REC_FULL,25.0,L5_CAGR,45,34,0.7555555555555555
WIN,0.0,L1_H1,45,45,1.0
WIN,0.0,L2_H2,45,45,1.0
WIN,0.0,L3_OOS,45,45,1.0
WIN,0.0,L4_DD,45,45,1.0
WIN,0.0,L5_CAGR,45,43,0.9555555555555556
WIN,10.0,L1_H1,45,45,1.0
WIN,10.0,L2_H2,45,45,1.0
WIN,10.0,L3_OOS,45,45,1.0
WIN,10.0,L4_DD,45,45,1.0
WIN,10.0,L5_CAGR,45,43,0.9555555555555556
WIN,25.0,L1_H1,45,45,1.0
WIN,25.0,L2_H2,45,45,1.0
WIN,25.0,L3_OOS,45,42,0.9333333333333333
WIN,25.0,L4_DD,45,44,0.9777777777777777
WIN,25.0,L5_CAGR,45,38,0.8444444444444444
