panel,bps,selector,pick,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,f4a,f4b
u56,0,do-nothing V2,RULES v2 (live),1.129947080577894,0.07798689870063158,0.097307362439361,1.3095985770043688,-0.12029812615148383,"H1,H2",CAGR
u56,0,CG IS-argmax g,CG g=1.00,1.1185655930249572,0.16980367747042813,0.18608634734371776,1.1423534478887303,-0.29162981477563454,"H1,H2,DD",DD
u56,0,CG IS-gross-matched,CG g=0.55,1.1158669314111826,0.09285792174958196,0.10172596273638734,1.1432163295547995,-0.16890951839091695,"H1,H2,DD",CAGR
u56,0,ARM IS-argmax (any axis),gate only in above200,1.1546939549556696,0.11885439932891217,0.1168053812436114,1.051242128967697,-0.21575599754226527,"H1,H2,DD",DD
u56,0,ARM IS-argmax ddbucket,gate only in dd0-5,1.1230417115840337,0.11906281036960542,0.12431030238008711,1.0723550332335365,-0.21575599754226504,"H1,H2,DD",DD
u56,0,ARM IS-argmax state200,gate only in above200,1.1546939549556696,0.11885439932891217,0.1168053812436114,1.051242128967697,-0.21575599754226527,"H1,H2,DD",DD
u56,0,ARM IS-argmax voltercile_IS,gate only in volLO,1.1219864010295277,0.12435855885538794,0.13360097557068795,1.1151788295473113,-0.22511403097764326,"H1,H2,DD",DD
u56,0,chooser over ALL,gate only in above200,1.1546939549556696,0.11885439932891217,0.1168053812436114,1.051242128967697,-0.21575599754226527,"H1,H2,DD",DD
u56,0,SPY,SPY,0.8986374811215905,0.149587948062176,0.15450717694493266,0.8820107671822842,-0.33717235283398284,"H1,H2,DD",-
u56,10,do-nothing V2,RULES v2 (live),1.1042593710951487,0.07609422682833555,0.09534722887472857,1.285072363206482,-0.12054942313126815,"H1,H2",CAGR
u56,10,CG IS-argmax g,CG g=1.00,1.1115799760908096,0.1685842618775102,0.18474612522638556,1.1353082993784909,-0.2917899958087591,"H1,H2,DD",DD
