char,panel,x,pred,actual,window,resid
cvol,U56,0.25804689153127275,-0.14542402592048903,0.007950453632135868,common,0.1533744795526249
cvol,U56,0.25804689153127275,-0.14542402592048903,-0.004496275786484076,full,0.14092775013400496
cvol,B136,0.27170966245540384,-0.14334447034810202,-0.025016508634760275,common,0.11832796171334174
cvol,B136,0.27170966245540384,-0.14334447034810202,-0.04652453310441784,full,0.09681993724368418
cvol,SMALL439,0.561759042633276,-0.09919721733729629,-0.10227731712053757,common,-0.00308009978324128
cvol,SMALL439,0.561759042633276,-0.09919721733729629,-0.10227731712053757,full,-0.00308009978324128
breadth,U56,0.6820976296320678,-0.08797959563220797,0.007950453632135868,common,0.09593004926434384
breadth,U56,0.6820976296320678,-0.08797959563220797,-0.004496275786484076,full,0.0834833198457239
breadth,B136,0.6824759275868523,-0.08779625300338084,-0.025016508634760275,common,0.06277974436862056
breadth,B136,0.6824759275868523,-0.08779625300338084,-0.04652453310441784,full,0.041271719898963
breadth,SMALL439,0.4829508191846682,-0.18449637371197028,-0.10227731712053757,common,0.08221905659143271
breadth,SMALL439,0.4829508191846682,-0.18449637371197028,-0.10227731712053757,full,0.08221905659143271
